depth_averaged_kz,ws,pressure,output
2.7236320919967492e-05,-1.666666666666667e-06,2e-08,0.6586413678272564
0.0002934339807680495,-9.166666666666668e-06,8.3525e-06,0.533993351454128
2.7236320919967492e-05,-1e-05,2e-08,0.5073397587169751
0.0002934339807680495,5.000000000000001e-06,8.3525e-06,0.6922483893560547
0.0002934339807680495,-1.666666666666667e-06,8.3525e-06,0.658445750532247
0.0009769455304579268,-2.4999999999999998e-06,1.6685e-05,0.6441067307728957
0.0002934339807680495,-5.833333333333334e-06,8.3525e-06,0.5871207845395049
0.0011660878472401904,-8.333333333333327e-07,2.50175e-05,0.6727797119839907
0.0012625017606426388,7.500000000000001e-06,3.3350000000000004e-05,0.6879706520083327
0.001321608058315641,-1.666666666666667e-06,4.1682500000000006e-05,0.6582710248274941
2.7236320919967492e-05,-2.4999999999999998e-06,2e-08,0.6430786453342491
2.7236320919967492e-05,-3.3333333333333333e-06,2e-08,0.6276056158756094
2.7236320919967492e-05,9.16666666666667e-06,2e-08,0.7093162786459133
0.0012625017606426388,-6.666666666666667e-06,3.3350000000000004e-05,0.577549100562858
0.0011660878472401904,-3.3333333333333333e-06,2.50175e-05,0.6302195527605753
0.0002934339807680495,2.5000000000000015e-06,8.3525e-06,0.6903477349974061
0.0011660878472401904,-7.500000000000001e-06,2.50175e-05,0.5648842470167238
0.0013824847051033201,-1e-05,5.0015e-05,0.5293462492440819
0.0002934339807680495,7.500000000000001e-06,8.3525e-06,0.6942042295852986
0.0012625017606426388,4.166666666666667e-06,3.3350000000000004e-05,0.687768199246746
0.0002934339807680495,3.333333333333334e-06,8.3525e-06,0.6909749230528792
0.0002934339807680495,-4.166666666666667e-06,8.3525e-06,0.614994424265445
0.0012625017606426388,-3.3333333333333333e-06,3.3350000000000004e-05,0.6302396566638295
0.0002934339807680495,0.0,8.3525e-06,0.6885058805348451
0.0002934339807680495,-5e-06,8.3525e-06,0.600948234450856
