depth_averaged_kz,ws,pressure,output
3.055307343707976e-05,0.0,2e-08,0.9666485005718319
3.055307343707976e-05,3.333333333333334e-06,2e-08,1.0232345162515646
0.01362469619503782,-9.166666666666668e-06,5.0015e-05,0.6854370330198932
0.007851461688275963,-7.500000000000001e-06,1.6685e-05,0.716210942402163
0.0157361097105631,1.666666666666667e-06,6.668e-05,0.8704778317851665
0.01471831475913243,1.666666666666667e-06,5.83475e-05,0.8705342497028258
0.027268317020487022,-8.333333333333334e-06,0.0002,0.7003281017131824
0.005536143247468725,-8.333333333333334e-06,8.3525e-06,0.7010361060949113
3.055307343707976e-05,-8.333333333333327e-07,2e-08,0.9383007692768317
0.020823114485557237,-1.666666666666667e-06,0.000116675,0.8332438300891681
3.055307343707976e-05,2.5000000000000015e-06,2e-08,1.0087165119082264
0.005536143247468725,-1e-05,8.3525e-06,0.6710426380100154
0.027268317020487022,8.333333333333344e-07,0.0002,0.8701031169079998
3.055307343707976e-05,-5.833333333333334e-06,2e-08,0.7783663625496996
0.012435264553126105,8.333333333333335e-06,4.1682500000000006e-05,0.8712370365472418
0.022261942718339443,2.5000000000000015e-06,0.00013334,0.8702769135109488
0.016691957260650835,-4.166666666666667e-06,7.50125e-05,0.7808154165320251
0.009625089737210674,0.0,2.50175e-05,0.8708245826314435
0.012435264553126105,1e-05,4.1682500000000006e-05,0.871372715475891
3.055307343707976e-05,-7.500000000000001e-06,2e-08,0.729072804311101
0.019277187673212973,-2.4999999999999998e-06,0.00010001,0.8153924251061908
0.027268317020487022,1.666666666666667e-06,0.0002,0.8701338173937379
0.01362469619503782,-3.3333333333333333e-06,5.0015e-05,0.798076702795253
3.055307343707976e-05,-5e-06,2e-08,0.8037748647519726
0.011119314062580769,-1.666666666666667e-06,3.3350000000000004e-05,0.8336691132456362
0.005536143247468725,9.16666666666667e-06,8.3525e-06,0.8734884158664679
0.01471831475913243,1e-05,5.83475e-05,0.8711054392018597
