pressure,ws,output
0.025000017500000003,8.333333333333333e-05,False
0.083333345,4.166666666666667e-05,False
0.016666685,-3.3333333333333335e-05,False
0.05833334750000001,4.166666666666667e-05,False
0.13333334,-1.666666666666666e-05,False
0.2,4.166666666666667e-05,False
0.083333345,-0.0001,False
0.183333335,4.166666666666667e-05,False
0.1916666675,-8.333333333333337e-06,False
0.025000017500000003,-5.833333333333333e-05,False
0.16666667,0.0,False
0.10000001000000001,-2.4999999999999998e-05,False
0.1916666675,-6.666666666666667e-05,False
0.10000001000000001,8.333333333333337e-06,False
0.2,-8.333333333333337e-06,False
0.0750000125,-1.666666666666666e-05,False
0.1416666725,5.000000000000001e-05,False
2e-08,2.4999999999999998e-05,True
0.05833334750000001,8.333333333333333e-05,False
0.10833334250000001,7.5e-05,False
0.10000001000000001,0.0001,False
0.13333334,5.8333333333333346e-05,False
0.1416666725,-1.666666666666666e-05,False
0.150000005,-4.166666666666667e-05,False
0.06666668,6.666666666666668e-05,False
0.1250000075,8.333333333333337e-06,False
0.1750000025,-7.500000000000001e-05,False
0.183333335,0.0001,False
0.1583333375,6.666666666666668e-05,False
0.033333350000000005,9.166666666666667e-05,False
0.183333335,5.000000000000001e-05,False
0.05833334750000001,-5e-05,False
0.11666667500000001,-0.0001,False
0.1750000025,7.5e-05,False
0.1916666675,-4.166666666666667e-05,False
0.016666685,2.4999999999999998e-05,False
0.1916666675,-8.333333333333334e-05,False
0.025000017500000003,-2.4999999999999998e-05,False
0.1583333375,-2.4999999999999998e-05,False
0.025000017500000003,-5e-05,False
0.033333350000000005,-8.333333333333334e-05,False
0.025000017500000003,7.5e-05,False
2e-08,-8.333333333333334e-05,False
0.11666667500000001,-5.833333333333333e-05,False
0.1583333375,-1.666666666666666e-05,False
0.05833334750000001,3.3333333333333335e-05,False
0.1416666725,8.333333333333333e-05,False
0.183333335,-4.166666666666667e-05,False
0.183333335,-8.333333333333337e-06,False
0.033333350000000005,5.000000000000001e-05,False
0.0916666775,8.333333333333337e-06,False
0.10000001000000001,2.4999999999999998e-05,False
0.1916666675,8.333333333333337e-06,False
0.1250000075,8.333333333333333e-05,False
0.10833334250000001,-5e-05,False
0.0750000125,0.0,False
0.1416666725,-4.166666666666667e-05,False
0.16666667,-2.4999999999999998e-05,False
0.033333350000000005,0.0,False
0.150000005,1.666666666666666e-05,False
0.0083333525,0.0001,False
0.05000001500000001,5.000000000000001e-05,False
0.150000005,-5e-05,False
0.150000005,3.3333333333333335e-05,False
0.05000001500000001,-5e-05,False
0.10833334250000001,-2.4999999999999998e-05,False
0.0083333525,3.3333333333333335e-05,False
0.025000017500000003,5.000000000000001e-05,False
0.0416666825,-3.3333333333333335e-05,False
0.083333345,0.0001,False
0.1583333375,0.0,False
0.16666667,2.4999999999999998e-05,False
0.13333334,-2.4999999999999998e-05,False
0.183333335,8.333333333333337e-06,False
0.150000005,8.333333333333333e-05,False
0.06666668,2.4999999999999998e-05,False
0.150000005,0.0001,False
0.1750000025,0.0,False
0.2,8.333333333333337e-06,False
0.16666667,-3.3333333333333335e-05,False
0.06666668,-6.666666666666667e-05,False
0.083333345,-8.333333333333334e-05,False
0.10833334250000001,9.166666666666667e-05,False
0.1916666675,-5e-05,False
0.0416666825,1.666666666666666e-05,False
0.11666667500000001,8.333333333333333e-05,False
0.183333335,8.333333333333333e-05,False
0.05000001500000001,-8.333333333333334e-05,False
0.10000001000000001,-8.333333333333337e-06,False
0.05833334750000001,-8.333333333333337e-06,False
0.2,-9.166666666666667e-05,False
0.13333334,5.000000000000001e-05,False
0.016666685,4.166666666666667e-05,False
0.16666667,-0.0001,False
0.025000017500000003,8.333333333333337e-06,False
0.033333350000000005,3.3333333333333335e-05,False
0.10000001000000001,8.333333333333333e-05,False
0.0083333525,2.4999999999999998e-05,False
0.13333334,9.166666666666667e-05,False
0.0416666825,-6.666666666666667e-05,False
0.06666668,5.000000000000001e-05,False
0.05000001500000001,4.166666666666667e-05,False
0.025000017500000003,1.666666666666666e-05,False
0.1583333375,4.166666666666667e-05,False
0.083333345,8.333333333333337e-06,False
0.0916666775,7.5e-05,False
0.1250000075,1.666666666666666e-05,False
0.16666667,-7.500000000000001e-05,False
0.16666667,-5e-05,False
0.05833334750000001,-5.833333333333333e-05,False
0.16666667,7.5e-05,False
0.025000017500000003,6.666666666666668e-05,False
0.025000017500000003,3.3333333333333335e-05,False
0.0750000125,6.666666666666668e-05,False
0.16666667,0.0001,False
0.1916666675,-1.666666666666666e-05,False
2e-08,-9.166666666666667e-05,False
0.083333345,9.166666666666667e-05,False
0.1416666725,6.666666666666668e-05,False
0.05000001500000001,-4.166666666666667e-05,False
0.033333350000000005,1.666666666666666e-05,False
0.11666667500000001,-6.666666666666667e-05,False
0.0416666825,7.5e-05,False
0.0083333525,-4.166666666666667e-05,False
0.0750000125,7.5e-05,False
0.11666667500000001,-4.166666666666667e-05,False
0.13333334,8.333333333333333e-05,False
0.11666667500000001,5.8333333333333346e-05,False
0.1750000025,2.4999999999999998e-05,False
0.1916666675,5.8333333333333346e-05,False
0.016666685,0.0,False
0.033333350000000005,2.4999999999999998e-05,False
0.1583333375,-8.333333333333337e-06,False
0.11666667500000001,8.333333333333337e-06,False
0.2,0.0001,False
0.13333334,-4.166666666666667e-05,False
0.11666667500000001,0.0001,False
0.150000005,0.0,False
0.183333335,-8.333333333333334e-05,False
0.150000005,-1.666666666666666e-05,False
0.1750000025,4.166666666666667e-05,False
0.05833334750000001,-2.4999999999999998e-05,False
0.05000001500000001,7.5e-05,False
0.150000005,-2.4999999999999998e-05,False
0.10833334250000001,-5.833333333333333e-05,False
0.13333334,-6.666666666666667e-05,False
0.06666668,-9.166666666666667e-05,False
0.083333345,-2.4999999999999998e-05,False
0.1250000075,7.5e-05,False
0.016666685,-8.333333333333334e-05,False
0.05833334750000001,5.000000000000001e-05,False
0.05000001500000001,8.333333333333333e-05,False
0.0916666775,3.3333333333333335e-05,False
0.0916666775,-9.166666666666667e-05,False
0.10000001000000001,1.666666666666666e-05,False
0.10000001000000001,4.166666666666667e-05,False
0.183333335,-6.666666666666667e-05,False
0.2,-4.166666666666667e-05,False
0.10000001000000001,-4.166666666666667e-05,False
0.16666667,-8.333333333333334e-05,False
0.1583333375,-5.833333333333333e-05,False
0.1583333375,-4.166666666666667e-05,False
