depth_averaged_u,ws,output
-1.0250758373783566,-8.333333333333337e-06,0.568744493634659
-1.917723171259461,0.0001,0.7047112955387195
-2.0501355261364194,-2.4999999999999998e-05,0.3693400576204708
-1.917723171259461,7.5e-05,0.7045519871351262
-2.899358898434617,-1.666666666666666e-05,0.4576812869040805
-2.988593584902431,5.000000000000001e-05,0.7041454696836624
-0.7248789290272919,-6.666666666666667e-05,0.12685179275352326
-1.6207674417008584,-1.666666666666666e-05,0.45829902489349306
-3.241593107273551,-8.333333333333337e-06,0.5675745413435481
-2.510907282710889,8.333333333333337e-06,0.7040310761818738
-3.5509973177036303,5.8333333333333346e-05,0.704103824207476
-2.7120962573293084,-4.166666666666667e-05,0.2398350552117528
-1.0250758373783566,9.166666666666667e-05,0.705557396072431
-2.899358898434617,-8.333333333333337e-06,0.5676388867224202
-1.6207674417008584,2.4999999999999998e-05,0.7043314326932137
-2.7120962573293084,6.666666666666668e-05,0.7042633172002329
-2.899358898434617,8.333333333333337e-06,0.7039889025748571
-3.476228843053069,-8.333333333333334e-05,0.08145406066299378
-3.1595116102737975,8.333333333333337e-06,0.7039664535434732
-2.7120962573293084,-2.4999999999999998e-05,0.36905089741128666
-0.00484221065953609,1.666666666666666e-05,0.9409107722388047
-1.0250758373783566,0.0001,0.7056645448637616
-3.3998165539292273,1.666666666666666e-05,0.703977508854107
-1.775463971705505,9.166666666666667e-05,0.7047375872198163
-2.7120962573293084,-5.833333333333333e-05,0.1558057440434525
-3.241593107273551,-5e-05,0.1931997023341521
-2.613438352916818,5.8333333333333346e-05,0.70424651645929
-2.292128095564119,-8.333333333333337e-06,0.5677998520154823
-2.899358898434617,9.166666666666667e-05,0.7043293694468595
-1.0250758373783566,-9.166666666666667e-05,0.06606394777619243
-1.917723171259461,-9.166666666666667e-05,0.06578577418147746
-2.613438352916818,0.0001,0.7044368298306374
-3.0752401814046486,2.4999999999999998e-05,0.7040372019963682
-2.613438352916818,6.666666666666668e-05,0.7042845441483674
-1.775463971705505,4.166666666666667e-05,0.7043916496105863
-1.0250758373783566,1.666666666666666e-05,0.7045987621297777
-2.292128095564119,3.3333333333333335e-05,0.7041920165368603
-2.0501355261364194,-7.500000000000001e-05,0.10131165112388674
-3.3998165539292273,-5.833333333333333e-05,0.15568253382865344
-2.613438352916818,2.4999999999999998e-05,0.7040945812727089
-1.775463971705505,8.333333333333337e-06,0.7041618239509166
-2.1745004452685093,8.333333333333333e-05,0.7044958935567806
-2.8072893480835344,-0.0001,0.0529086638829053
-1.6207674417008584,-8.333333333333334e-05,0.08173896449339187
-3.321647014039121,3.3333333333333335e-05,0.7040426494155352
-1.2554431496321832,-9.166666666666667e-05,0.06595853811348061
-3.476228843053069,2.4999999999999998e-05,0.7039998312642445
-3.0752401814046486,-3.3333333333333335e-05,0.2974184355406152
-3.241593107273551,8.333333333333333e-05,0.7042325259011807
-1.2554431496321832,-8.333333333333334e-05,0.08188551297231164
-3.0752401814046486,-7.500000000000001e-05,0.10113232925885123
-2.613438352916818,0.0,0.7039808156089891
-3.5509973177036303,0.0001,0.7042415627332612
-2.510907282710889,-8.333333333333334e-05,0.08155229440084474
-1.2554431496321832,-1.666666666666666e-05,0.45870407572627675
-2.8072893480835344,2.4999999999999998e-05,0.7040681741478652
-2.7120962573293084,-0.0001,0.05291511486834562
-2.292128095564119,6.666666666666668e-05,0.7043668301707371
-2.1745004452685093,-7.500000000000001e-05,0.10128128864647606
-2.8072893480835344,3.3333333333333335e-05,0.704103363889799
-2.404007563874908,5.000000000000001e-05,0.7042524962740928
-1.2554431496321832,7.5e-05,0.7050235203454096
-1.917723171259461,0.0,0.7040758805944347
-1.775463971705505,-3.3333333333333335e-05,0.29798010412704684
-3.1595116102737975,9.166666666666667e-05,0.7042774569529116
-2.8072893480835344,5.8333333333333346e-05,0.7042090242522254
-2.988593584902431,8.333333333333333e-05,0.7042774766509117
-2.899358898434617,6.666666666666668e-05,0.7042270809753102
-1.2554431496321832,-5e-05,0.19412104535887453
-3.241593107273551,-4.166666666666667e-05,0.23970343968883373
-3.1595116102737975,0.0001,0.7043086222255961
-1.775463971705505,6.666666666666668e-05,0.7045644407607672
-2.1745004452685093,-5e-05,0.19349014411365412
-3.321647014039121,0.0001,0.7042788879466725
-2.404007563874908,1.666666666666666e-05,0.7040865266728561
-2.8072893480835344,-8.333333333333337e-06,0.5676588443227564
-3.241593107273551,-1.666666666666666e-05,0.4575980221417168
-3.1595116102737975,-8.333333333333334e-05,0.08147997031001779
-2.1745004452685093,-8.333333333333337e-06,0.5678413469949257
-3.321647014039121,-0.0001,0.05287980321222318
-2.0501355261364194,9.166666666666667e-05,0.7045945951816758
-1.6207674417008584,3.3333333333333335e-05,0.7043949249027246
-1.2554431496321832,-6.666666666666667e-05,0.12612917886577155
-0.7248789290272919,-4.166666666666667e-05,0.24196547513209604
-3.476228843053069,4.166666666666667e-05,0.7040560615561626
-2.613438352916818,-8.333333333333334e-05,0.08153859045738639
-1.775463971705505,-7.500000000000001e-05,0.10139300574666248
-2.8072893480835344,5.000000000000001e-05,0.7041737889076196
-2.292128095564119,-5.833333333333333e-05,0.1559161899275531
-3.476228843053069,-1.666666666666666e-05,0.45755030177064804
-3.241593107273551,5.000000000000001e-05,0.7041113413460917
-2.7120962573293084,-7.500000000000001e-05,0.10118093148432507
-2.988593584902431,-8.333333333333337e-06,0.5676207021048485
-3.321647014039121,-4.166666666666667e-05,0.23968713188228388
-2.613438352916818,8.333333333333337e-06,0.7040187197522628
-2.1745004452685093,-5.833333333333333e-05,0.15595454437583367
-1.4496578900468997,-2.4999999999999998e-05,0.3698272486086951
-2.292128095564119,8.333333333333333e-05,0.7044543755416207
-2.613438352916818,-8.333333333333337e-06,0.5677054226631987
-0.00484221065953609,2.4999999999999998e-05,1.0019577881455193
-2.613438352916818,5.000000000000001e-05,0.704208506159732
-2.899358898434617,2.4999999999999998e-05,0.7040568825321175
-3.241593107273551,-6.666666666666667e-05,0.12547986518686063
-1.6207674417008584,-8.333333333333337e-06,0.5681170350410427
-0.00484221065953609,8.333333333333337e-06,0.8634308559427424
-1.2554431496321832,-8.333333333333337e-06,0.5684313479070704
-2.7120962573293084,1.666666666666666e-05,0.7040441883552859
-0.7248789290272919,-8.333333333333334e-05,0.08232384132966732
-2.0501355261364194,8.333333333333333e-05,0.704545197936675
-1.2554431496321832,4.166666666666667e-05,0.7046851983166951
-3.5509973177036303,0.0,0.703911381067953
-2.988593584902431,-8.333333333333334e-05,0.0814961189154405
-2.613438352916818,7.5e-05,0.7043225894834045
-0.00484221065953609,-5e-05,0.006328614831859154
-2.7120962573293084,9.166666666666667e-05,0.7043731009470392
-2.292128095564119,-5e-05,0.19344518749624842
-2.510907282710889,9.166666666666667e-05,0.7044276027347994
-1.0250758373783566,-4.166666666666667e-05,0.2411280061198485
-3.3998165539292273,8.333333333333337e-06,0.7039487573499961
-3.321647014039121,6.666666666666668e-05,0.7041606834990737
-2.988593584902431,-2.4999999999999998e-05,0.3689676599734704
-1.0250758373783566,4.166666666666667e-05,0.7049171249887883
-2.7120962573293084,-9.166666666666667e-05,0.06568380239128682
-2.292128095564119,-0.0001,0.05294943841540394
-2.8072893480835344,-7.500000000000001e-05,0.1011670223576596
-1.0250758373783566,5.8333333333333346e-05,0.7051300367551933
-2.7120962573293084,4.166666666666667e-05,0.7041536793912808
-2.7120962573293084,-3.3333333333333335e-05,0.29752188205961827
-3.5509973177036303,-8.333333333333337e-06,0.5675269368894303
-3.5509973177036303,8.333333333333333e-05,0.7041864394415934
-2.899358898434617,5.000000000000001e-05,0.7041589590359992
-3.0752401814046486,-5.833333333333333e-05,0.15573400107780333
-2.7120962573293084,0.0,0.7039712764102546
-3.476228843053069,5.000000000000001e-05,0.7040841914786954
-1.4496578900468997,-1.666666666666666e-05,0.45846350281541126
-0.7248789290272919,8.333333333333333e-05,0.7062685156530385
-2.292128095564119,-9.166666666666667e-05,0.06572947566860168
-3.476228843053069,-7.500000000000001e-05,0.10109005542257896
-2.1745004452685093,-9.166666666666667e-05,0.06574521446312596
-1.0250758373783566,2.4999999999999998e-05,0.7047047462755348
-2.0501355261364194,-8.333333333333334e-05,0.08162982224178318
-2.404007563874908,6.666666666666668e-05,0.7043356070827811
-3.321647014039121,-8.333333333333334e-05,0.08146611895019751
-2.613438352916818,-2.4999999999999998e-05,0.36908480075147004
-1.6207674417008584,-5.833333333333333e-05,0.15620715631266116
-1.0250758373783566,-8.333333333333334e-05,0.08202603026687606
-2.899358898434617,5.8333333333333346e-05,0.7041930129587857
-3.3998165539292273,-8.333333333333334e-05,0.08145989002916211
-1.2554431496321832,-0.0001,0.053118657592739836
-2.899358898434617,7.5e-05,0.7042611631290865
-1.917723171259461,-5.833333333333333e-05,0.15605409750447177
-1.917723171259461,-8.333333333333334e-05,0.08165857651852147
-1.775463971705505,0.0,0.7041044694143604
-2.1745004452685093,-6.666666666666667e-05,0.12568636262760946
-2.613438352916818,1.666666666666666e-05,0.7040566415684373
-1.6207674417008584,6.666666666666668e-05,0.7046493821960659
-3.3998165539292273,7.5e-05,0.70417905465131
-1.775463971705505,5.8333333333333346e-05,0.7045068039994425
