pmax,ws,output
0.02089795918367347,-8.36734693877551e-05,False
0.3676632653061224,-2.0408163265306112e-06,True
0.4492551020408163,9.183673469387756e-05,True
0.9388061224489795,4.6938775510204086e-05,True
0.9796020408163264,5.510204081632656e-05,True
0.6940306122448979,-8.36734693877551e-05,True
0.8572142857142856,8.367346938775511e-05,True
0.16368367346938775,1.020408163265307e-05,True
0.8164183673469387,9.183673469387756e-05,True
0.0005,-2.0408163265306112e-06,False
0.2044795918367347,7.959183673469389e-05,True
0.2656734693877551,-5.918367346938775e-05,True
0.7552244897959183,-0.0001,True
0.2860714285714286,2.244897959183675e-05,True
0.0005,-6.122448979591834e-06,False
0.24527551020408161,9.183673469387756e-05,True
0.10248979591836735,-3.877551020408163e-05,False
0.7756224489795918,6.122448979591847e-06,True
0.918408163265306,-5.510204081632653e-05,True
0.8776122448979591,-0.0001,True
0.49005102040816323,-7.959183673469388e-05,True
1.0,-6.326530612244899e-05,True
0.7756224489795918,7.142857142857145e-05,True
0.1840816326530612,5.918367346938778e-05,True
0.918408163265306,3.877551020408164e-05,True
0.8980102040816326,-8.775510204081632e-05,True
0.5512448979591836,-6.122448979591834e-06,True
0.7960204081632652,2.040816326530625e-06,True
0.04129591836734694,7.551020408163267e-05,True
0.4084591836734694,8.367346938775511e-05,True
0.4696530612244898,-5.102040816326531e-05,True
0.9388061224489795,-2.653061224489796e-05,True
0.6736326530612244,-4.2857142857142856e-05,True
0.6940306122448979,-8.775510204081632e-05,True
0.918408163265306,9.183673469387756e-05,True
0.12288775510204081,-3.4693877551020405e-05,False
0.24527551020408161,3.0612244897959196e-05,True
0.8776122448979591,1.8367346938775515e-05,True
0.1840816326530612,-2.653061224489796e-05,True
0.04129591836734694,3.877551020408164e-05,True
0.347265306122449,-3.061224489795918e-05,True
0.10248979591836735,7.959183673469389e-05,True
0.1840816326530612,-3.061224489795918e-05,True
0.7144285714285714,8.775510204081634e-05,True
0.959204081632653,-9.183673469387756e-05,True
0.5920408163265305,-3.061224489795918e-05,True
0.5308469387755101,-5.102040816326531e-05,True
0.02089795918367347,-6.326530612244899e-05,False
0.12288775510204081,-1.4285714285714279e-05,True
0.653234693877551,-7.551020408163266e-05,True
0.0005,1.8367346938775515e-05,False
0.4288571428571428,6.122448979591847e-06,True
0.5308469387755101,5.102040816326531e-05,True
1.0,8.367346938775511e-05,True
0.5512448979591836,4.285714285714286e-05,True
0.4492551020408163,8.775510204081634e-05,True
0.959204081632653,-8.36734693877551e-05,True
0.1840816326530612,1.020408163265307e-05,True
0.612438775510204,-0.0001,True
0.8572142857142856,-5.102040816326531e-05,True
0.22487755102040816,-5.918367346938775e-05,True
0.5512448979591836,-1.0204081632653056e-05,True
0.1432857142857143,4.6938775510204086e-05,True
0.7348265306122448,1.020408163265307e-05,True
0.1432857142857143,3.877551020408164e-05,True
0.6940306122448979,-9.183673469387756e-05,True
0.5104489795918367,-0.0001,True
0.061693877551020404,8.367346938775511e-05,True
0.918408163265306,1.4285714285714292e-05,True
0.04129591836734694,-5.102040816326531e-05,False
0.8572142857142856,2.244897959183675e-05,True
0.5308469387755101,-9.183673469387756e-05,True
0.4492551020408163,-2.0408163265306112e-06,True
0.612438775510204,1.020408163265307e-05,True
0.2044795918367347,-3.4693877551020405e-05,True
0.49005102040816323,-2.2448979591836724e-05,True
0.918408163265306,-9.183673469387756e-05,True
0.5920408163265305,-8.775510204081632e-05,True
0.8368163265306122,2.040816326530625e-06,True
0.2044795918367347,-9.591836734693878e-05,False
0.8368163265306122,-1.0204081632653056e-05,True
0.1432857142857143,1.4285714285714292e-05,True
0.4288571428571428,5.102040816326531e-05,True
0.918408163265306,7.959183673469389e-05,True
0.6736326530612244,-9.183673469387756e-05,True
0.4492551020408163,7.551020408163267e-05,True
0.08209183673469388,1.4285714285714292e-05,True
0.3676632653061224,-8.775510204081632e-05,True
0.4492551020408163,5.102040816326531e-05,True
0.10248979591836735,5.918367346938778e-05,True
0.9796020408163264,3.0612244897959196e-05,True
0.6736326530612244,-9.591836734693878e-05,True
0.8164183673469387,0.0001,True
0.5920408163265305,1.020408163265307e-05,True
0.2656734693877551,3.469387755102042e-05,True
0.5104489795918367,7.551020408163267e-05,True
0.49005102040816323,-8.36734693877551e-05,True
0.6328367346938775,2.244897959183675e-05,True
0.8164183673469387,6.122448979591847e-06,True
1.0,-1.4285714285714279e-05,True
0.7348265306122448,-5.510204081632653e-05,True
0.6736326530612244,1.8367346938775515e-05,True
0.653234693877551,1.020408163265307e-05,True
0.2656734693877551,1.4285714285714292e-05,True
0.5512448979591836,6.122448979591847e-06,True
0.8164183673469387,-2.2448979591836724e-05,True
0.24527551020408161,6.734693877551023e-05,True
0.4288571428571428,0.0001,True
0.8572142857142856,-2.2448979591836724e-05,True
0.7756224489795918,3.469387755102042e-05,True
0.12288775510204081,6.3265306122449e-05,True
0.6940306122448979,-4.693877551020408e-05,True
0.918408163265306,-1.83673469387755e-05,True
0.04129591836734694,8.367346938775511e-05,True
0.16368367346938775,-9.183673469387756e-05,False
0.6940306122448979,4.285714285714286e-05,True
0.5716428571428571,-1.4285714285714279e-05,True
0.7552244897959183,3.0612244897959196e-05,True
0.8164183673469387,-3.877551020408163e-05,True
0.8572142857142856,-1.4285714285714279e-05,True
0.08209183673469388,4.6938775510204086e-05,True
0.959204081632653,-4.2857142857142856e-05,True
0.4696530612244898,-8.775510204081632e-05,True
0.8164183673469387,2.040816326530625e-06,True
0.4696530612244898,-7.551020408163266e-05,True
0.4288571428571428,-2.0408163265306112e-06,True
0.918408163265306,-5.918367346938775e-05,True
0.7348265306122448,-6.122448979591834e-06,True
0.24527551020408161,-5.102040816326531e-05,True
0.7552244897959183,-1.0204081632653056e-05,True
0.5104489795918367,6.734693877551023e-05,True
0.5716428571428571,6.734693877551023e-05,True
0.08209183673469388,-6.122448979591834e-06,True
0.5716428571428571,4.285714285714286e-05,True
0.612438775510204,8.367346938775511e-05,True
0.3880612244897959,8.775510204081634e-05,True
0.9796020408163264,9.183673469387756e-05,True
0.8980102040816326,-1.4285714285714279e-05,True
0.4084591836734694,-6.734693877551021e-05,True
1.0,4.285714285714286e-05,True
0.6328367346938775,-8.775510204081632e-05,True
0.2860714285714286,-6.122448979591834e-06,True
0.8164183673469387,-4.693877551020408e-05,True
0.0005,2.244897959183675e-05,False
0.5920408163265305,5.510204081632656e-05,True
