,U,C,Q2,Q2L,rho,L,nu_t,Kz,Kq,N_BV,algae,biomass,net_growth
0,-0.19104331669240437,17.499999999999165,0.0007118223134726545,4.8596138530395134e-06,1000.0,0.1,0.0010468829973348582,0.0013187990524359393,0.0005345999675684603,0.0,135.13391397716487,10811.968022777673,-1.6666666666666667e-06
1,-0.21361361020276515,17.49999999999917,0.0008452926152182454,5.0811492573537804e-05,1000.0,0.1,0.00114072701213486,0.0014370412975965921,0.0005824783281320967,0.0,135.13414958308428,10811.968022777673,-1.6666666666666667e-06
2,-0.2345397298462907,17.499999999999172,0.0008413451550184784,8.800039578528054e-05,1000.0,0.10447070925854626,0.0011888974395258736,0.0014977354132224032,0.0006070544409086715,0.0,135.13459181861236,10811.968022777673,-1.6666666666666667e-06
3,-0.2509057721753665,17.499999999999172,0.0008733905753213403,0.00013212997836290307,1000.0,0.15111093611038184,0.0017516424315238781,0.002206786826342,0.0008941618040120307,0.0,135.13511716139186,10811.968022777673,-1.6666666666666667e-06
4,-0.26290001297569854,17.49999999999917,0.0008668578355722526,0.00016599540580291574,1000.0,0.19127027376950606,0.0022085915499900975,0.002782536806847158,0.001127293077218822,0.0,135.1356371610772,10811.968022777673,-1.6666666666666667e-06
5,-0.27254752855349823,17.49999999999916,0.0008555573934060275,0.00019789954526629118,1000.0,0.23104061302811302,0.002650172307080299,0.0033389228507452423,0.001352583552599547,0.0,135.1361668905956,10811.968022777673,-1.6666666666666667e-06
6,-0.2806184536559736,17.49999999999916,0.0008431741912196965,0.00022836229428054562,1000.0,0.2705156076266661,0.003080273634705508,0.003880844961956764,0.0015720173277510557,0.0,135.13670582196792,10811.968022777673,-1.6666666666666667e-06
7,-0.28755341251605543,17.499999999999154,0.000830589548204817,0.00025745576967402934,1000.0,0.3095947637026086,0.003498712761675173,0.004408072851145022,0.0017855011544786656,0.0,135.13725344147153,10811.968022777673,-1.6666666666666667e-06
8,-0.29363140270222493,17.49999999999915,0.000818051393652101,0.00028519307366091606,1000.0,0.3481992410625874,0.0039050504267447448,0.004920053054821928,0.0019928109257011423,0.0,135.13780954027968,10811.968022777673,-1.6666666666666667e-06
9,-0.29904034071770463,17.49999999999915,0.0008056281530258706,0.00031158132875084676,1000.0,0.38627628800460867,0.00429896298086788,0.005416377779374162,0.0021937815186264787,0.0,135.1383740987331,10811.968022777673,-1.6666666666666667e-06
10,-0.3039127100215559,17.499999999999147,0.00079333241320431,0.0003366300145997841,1000.0,0.4237898504504305,0.004680241441374767,0.005896783709340096,0.002388306312202303,0.0,135.13894720572134,10811.968022777673,-1.6666666666666667e-06
11,-0.30834533545869747,17.499999999999147,0.0007811593486804012,0.0003603515903488289,1000.0,0.4607137803272265,0.005048755653347029,0.0063611068512055904,0.0025763189025761737,0.0,135.1395290151832,10811.968022777673,-1.6666666666666667e-06
12,-0.31241108310893023,17.499999999999147,0.0007690994908469103,0.00038276084381864967,1000.0,0.497027784549905,0.005404426308772114,0.006809247277900358,0.0027577788275233188,0.0,135.14011972315427,10811.968022777673,-1.6666666666666667e-06
13,-0.3161661385272487,17.499999999999147,0.0007571430164483927,0.0004038742081558709,1000.0,0.5327150674655893,0.0057472067125837745,0.007241146154244736,0.0029326622636467615,0.0,135.14071955550554,10811.968022777673,-1.6666666666666667e-06
14,-0.3196547236128128,17.499999999999147,0.0007452810775658679,0.000423709246529808,1000.0,0.5677609405718997,0.006077071322266333,0.007656771296999257,0.0031009561793879327,0.0,135.1413287613223,10811.968022777673,-1.6666666666666667e-06
