depth_averaged_kz,ws,pressure,output
3.055307343707976e-05,-1e-05,2e-08,0.5482583709787824
3.055307343707976e-05,0.0,2e-08,0.7614956424324509
0.009625089737210674,-2.4999999999999998e-06,2.50175e-05,0.699909813153251
0.011119314062580769,2.5000000000000015e-06,3.3350000000000004e-05,0.7470898574538132
0.012435264553126105,7.500000000000001e-06,4.1682500000000006e-05,0.747247094330201
0.024260706581628287,8.333333333333335e-06,0.0001583375,0.7470782829366631
0.011119314062580769,-7.500000000000001e-06,3.3350000000000004e-05,0.6143509377236238
0.019277187673212973,1.666666666666667e-06,0.00010001,0.7469802732329274
0.020823114485557237,-4.166666666666667e-06,0.000116675,0.6701511555593306
3.055307343707976e-05,9.16666666666667e-06,2e-08,0.813481634008093
0.007851461688275963,7.500000000000001e-06,1.6685e-05,0.7474793440455464
0.009625089737210674,6.666666666666667e-06,2.50175e-05,0.7473222947381671
0.01362469619503782,3.333333333333334e-06,5.0015e-05,0.7470770782942907
0.011119314062580769,4.166666666666667e-06,3.3350000000000004e-05,0.747157637575116
0.016691957260650835,1e-05,7.50125e-05,0.7472154680525915
3.055307343707976e-05,-5e-06,2e-08,0.651541675155645
0.009625089737210674,5.833333333333336e-06,2.50175e-05,0.747282661133839
0.0157361097105631,-1.666666666666667e-06,6.668e-05,0.7152394276606595
0.01362469619503782,-5.833333333333334e-06,5.0015e-05,0.641663956236165
0.011119314062580769,9.16666666666667e-06,3.3350000000000004e-05,0.7473611443021002
0.005536143247468725,-1.666666666666667e-06,8.3525e-06,0.7153399166413034
0.009625089737210674,3.333333333333334e-06,2.50175e-05,0.7471638169327592
0.02669391883586194,5.000000000000001e-06,0.0001916675,0.7470063679018781
0.011119314062580769,8.333333333333335e-06,3.3350000000000004e-05,0.747327209221381
0.009625089737210674,2.5000000000000015e-06,2.50175e-05,0.7471242211008322
0.0157361097105631,-5e-06,6.668e-05,0.6557577688507933
0.017595955906854775,7.500000000000001e-06,8.334500000000001e-05,0.7471351929113175
0.022947549949051425,-7.500000000000001e-06,0.0001416725,0.614419283555151
0.02669391883586194,-8.333333333333327e-07,0.0001916675,0.7309010166114223
0.007851461688275963,-8.333333333333334e-06,1.6685e-05,0.6010578933404443
0.011119314062580769,-8.333333333333334e-06,3.3350000000000004e-05,0.6011338615373303
0.012435264553126105,-2.4999999999999998e-06,4.1682500000000006e-05,0.6998956108084643
3.055307343707976e-05,7.500000000000001e-06,2e-08,0.8036467937303905
0.01362469619503782,6.666666666666667e-06,5.0015e-05,0.7471861127010226
0.017595955906854775,-5e-06,8.334500000000001e-05,0.6557598466639074
0.01362469619503782,1e-05,5.0015e-05,0.7472952191762243
3.055307343707976e-05,5.000000000000001e-06,2e-08,0.7891131586870943
0.016691957260650835,8.333333333333344e-07,7.50125e-05,0.7469739599259374
0.007851461688275963,-1e-05,1.6685e-05,0.5754248584023747
3.055307343707976e-05,8.333333333333344e-07,2e-08,0.7659196939158327
0.01471831475913243,-8.333333333333334e-06,5.83475e-05,0.6011766495968611
0.01471831475913243,-8.333333333333327e-07,5.83475e-05,0.7309318370891267
0.01362469619503782,-5e-06,5.0015e-05,0.6557546437949053
0.023613258523026148,-1.666666666666667e-06,0.00015000499999999998,0.7152220884243912
0.016691957260650835,-5e-06,7.50125e-05,0.6557588998409939
0.01362469619503782,8.333333333333335e-06,5.0015e-05,0.7472406569473145
0.020065045463320032,-6.666666666666667e-06,0.00010834250000000001,0.627898003832042
0.018455726426962187,-6.666666666666667e-06,9.16775e-05,0.627893513245237
0.025506344922054704,5.000000000000001e-06,0.00017500249999999998,0.7470122569657972
0.017595955906854775,-7.500000000000001e-06,8.334500000000001e-05,0.6144003426294956
0.017595955906854775,-8.333333333333334e-06,8.334500000000001e-05,0.6011976728227509
0.027268317020487022,-6.666666666666667e-06,0.0002,0.6279113533415274
0.022261942718339443,-7.500000000000001e-06,0.00013334,0.6144173887274604
0.012435264553126105,4.166666666666667e-06,4.1682500000000006e-05,0.7471268251124151
3.055307343707976e-05,-3.3333333333333333e-06,2e-08,0.6874867571800113
0.016691957260650835,-8.333333333333327e-07,7.50125e-05,0.7309235644560005
0.01362469619503782,7.500000000000001e-06,5.0015e-05,0.7472133825816959
0.005536143247468725,-6.666666666666667e-06,8.3525e-06,0.627747781591103
0.023613258523026148,3.333333333333334e-06,0.00015000499999999998,0.7469924781715263
0.0157361097105631,9.16666666666667e-06,6.668e-05,0.7472134301363593
0.007851461688275963,5.000000000000001e-06,1.6685e-05,0.7473310553317476
0.011119314062580769,-8.333333333333327e-07,3.3350000000000004e-05,0.730954899511345
0.01471831475913243,-5.833333333333334e-06,5.83475e-05,0.6416676844871465
0.007851461688275963,2.5000000000000015e-06,1.6685e-05,0.747182898548892
0.02669391883586194,-4.166666666666667e-06,0.0001916675,0.6701508703113133
0.024891319123802175,-8.333333333333334e-06,0.00016667,0.6012283793331835
0.02669391883586194,7.500000000000001e-06,0.0001916675,0.7470465420638631
0.0157361097105631,5.000000000000001e-06,6.668e-05,0.7470965176951491
0.01471831475913243,8.333333333333335e-06,5.83475e-05,0.7472125352535495
0.021554538050176524,-5e-06,0.00012500749999999999,0.6557629923812157
0.018455726426962187,-9.166666666666668e-06,9.16775e-05,0.5882827760464903
0.01362469619503782,-1e-05,5.0015e-05,0.5755846583676484
0.020065045463320032,6.666666666666667e-06,0.00010834250000000001,0.7470847419854036
0.009625089737210674,-1.666666666666667e-06,2.50175e-05,0.7152735862240978
0.019277187673212973,-5.833333333333334e-06,0.00010001,0.6416784046240042
0.022947549949051425,1.666666666666667e-06,0.0001416725,0.7469643718975835
0.021554538050176524,-9.166666666666668e-06,0.00012500749999999999,0.588300610948767
0.023613258523026148,-7.500000000000001e-06,0.00015000499999999998,0.6144210135245878
3.055307343707976e-05,-8.333333333333334e-06,2e-08,0.5819073815274703
0.019277187673212973,-5e-06,0.00010001,0.6557613528356979
0.007851461688275963,-9.166666666666668e-06,1.6685e-05,0.5881041511868698
0.011119314062580769,7.500000000000001e-06,3.3350000000000004e-05,0.7472932810488786
0.025506344922054704,-4.166666666666667e-06,0.00017500249999999998,0.6701509191230933
0.019277187673212973,-8.333333333333334e-06,0.00010001,0.6012069137262621
0.007851461688275963,-7.500000000000001e-06,1.6685e-05,0.6142919154000782
0.020823114485557237,0.0,0.000116675,0.7469381293057451
0.01471831475913243,-1.666666666666667e-06,5.83475e-05,0.7152430869862322
0.01471831475913243,4.166666666666667e-06,5.83475e-05,0.7470870047746577
0.022261942718339443,-1e-05,0.00013334,0.5756640717922169
0.007851461688275963,0.0,1.6685e-05,0.7470348742043506
0.0157361097105631,-6.666666666666667e-06,6.668e-05,0.6278836981162921
0.022947549949051425,1e-05,0.0001416725,0.7471212629992442
0.018455726426962187,3.333333333333334e-06,9.16775e-05,0.7470242004893358
0.012435264553126105,-3.3333333333333333e-06,4.1682500000000006e-05,0.6848639712365516
0.018455726426962187,7.500000000000001e-06,9.16775e-05,0.747122888496077
0.020823114485557237,-8.333333333333334e-06,0.000116675,0.6012140340539549
0.021554538050176524,1e-05,0.00012500749999999999,0.747137308011287
