pmax,ws,output
-3.4693877551020406e-08,0.918408163265306,False
-6.122448979591834e-09,0.4492551020408163,False
-6.122448979591834e-09,0.9388061224489795,False
-7.959183673469388e-08,0.9796020408163264,False
3.0612244897959183e-08,0.4288571428571428,False
2.653061224489796e-08,0.5512448979591836,False
5.918367346938774e-08,0.5104489795918367,False
-2.0408163265306113e-09,0.061693877551020404,False
6.122448979591834e-09,0.8164183673469387,False
-4.285714285714285e-08,0.24527551020408161,False
-1.8367346938775515e-08,0.5512448979591836,False
2.0408163265306113e-09,0.2044795918367347,False
6.122448979591834e-09,0.8368163265306122,False
-3.877551020408163e-08,0.2860714285714286,False
-2.0408163265306113e-09,0.5920408163265305,False
-1.0204081632653057e-08,0.959204081632653,False
-5.9183673469387755e-08,0.6940306122448979,False
-7.551020408163265e-08,0.8572142857142856,False
6.326530612244896e-08,0.7552244897959183,False
-1.8367346938775515e-08,0.4492551020408163,False
9.591836734693877e-08,0.4492551020408163,False
8.36734693877551e-08,0.24527551020408161,False
3.4693877551020406e-08,0.5512448979591836,False
6.734693877551021e-08,0.6940306122448979,False
-3.877551020408163e-08,0.3268673469387755,False
-2.2448979591836738e-08,0.3676632653061224,False
6.734693877551021e-08,0.4696530612244898,False
8.775510204081633e-08,0.9388061224489795,False
-4.693877551020408e-08,0.2044795918367347,False
-7.959183673469388e-08,0.653234693877551,False
-3.0612244897959183e-08,0.306469387755102,False
-6.326530612244898e-08,0.9388061224489795,False
-1.428571428571428e-08,0.10248979591836735,False
7.551020408163266e-08,0.6328367346938775,False
-8.775510204081633e-08,0.347265306122449,False
-3.877551020408163e-08,0.02089795918367347,False
-1e-07,0.4696530612244898,False
-1.428571428571428e-08,0.5920408163265305,False
-5.9183673469387755e-08,0.4288571428571428,False
6.122448979591834e-09,0.12288775510204081,False
-8.36734693877551e-08,0.8164183673469387,False
-8.36734693877551e-08,0.22487755102040816,False
-6.122448979591834e-09,1.0,False
4.285714285714285e-08,0.4696530612244898,False
-8.775510204081633e-08,0.918408163265306,False
7.551020408163266e-08,0.347265306122449,False
7.142857142857144e-08,0.9388061224489795,False
8.775510204081633e-08,0.08209183673469388,False
1.4285714285714293e-08,0.306469387755102,False
-3.877551020408163e-08,0.16368367346938775,False
-4.693877551020408e-08,0.061693877551020404,False
7.551020408163266e-08,0.6940306122448979,False
-3.0612244897959183e-08,0.4696530612244898,False
-3.0612244897959183e-08,0.8776122448979591,False
8.775510204081633e-08,0.5104489795918367,False
4.285714285714285e-08,0.2044795918367347,False
-7.959183673469388e-08,0.959204081632653,False
-3.877551020408163e-08,0.7348265306122448,False
6.326530612244896e-08,0.4696530612244898,False
4.285714285714285e-08,0.9388061224489795,False
1e-07,0.959204081632653,False
3.0612244897959183e-08,0.8980102040816326,False
-7.959183673469388e-08,0.08209183673469388,False
-5.9183673469387755e-08,0.1840816326530612,False
-9.183673469387755e-08,1.0,False
1.4285714285714293e-08,0.4288571428571428,False
6.734693877551021e-08,0.959204081632653,False
-2.653061224489796e-08,0.4696530612244898,False
6.122448979591834e-09,0.4696530612244898,False
5.918367346938774e-08,0.7552244897959183,False
4.285714285714285e-08,0.0005,False
-2.0408163265306113e-09,0.2044795918367347,False
-5.5102040816326526e-08,0.959204081632653,False
7.551020408163266e-08,0.9388061224489795,False
1.0204081632653057e-08,0.02089795918367347,False
1.0204081632653057e-08,0.8164183673469387,False
-1.8367346938775515e-08,0.612438775510204,False
1.4285714285714293e-08,0.7348265306122448,False
3.4693877551020406e-08,0.3676632653061224,False
5.510204081632652e-08,0.0005,False
1.4285714285714293e-08,0.8980102040816326,False
6.326530612244896e-08,0.4084591836734694,False
2.653061224489796e-08,0.653234693877551,False
-9.591836734693877e-08,0.2044795918367347,False
5.918367346938774e-08,0.8368163265306122,False
-2.2448979591836738e-08,0.24527551020408161,False
9.591836734693877e-08,0.7756224489795918,False
9.183673469387755e-08,0.8980102040816326,False
-5.1020408163265303e-08,0.4696530612244898,False
8.775510204081633e-08,0.4696530612244898,False
9.183673469387755e-08,0.8776122448979591,False
8.775510204081633e-08,0.22487755102040816,False
-6.326530612244898e-08,0.3676632653061224,False
-2.0408163265306113e-09,0.1840816326530612,False
6.122448979591834e-09,0.347265306122449,False
-1.8367346938775515e-08,0.3676632653061224,False
6.326530612244896e-08,0.08209183673469388,False
-1.0204081632653057e-08,0.5716428571428571,False
-3.4693877551020406e-08,0.7552244897959183,False
-6.326530612244898e-08,0.8368163265306122,False
5.510204081632652e-08,0.02089795918367347,False
-8.36734693877551e-08,0.5512448979591836,False
-3.877551020408163e-08,0.04129591836734694,False
4.285714285714285e-08,0.918408163265306,False
1e-07,0.12288775510204081,False
6.326530612244896e-08,0.6328367346938775,False
1.8367346938775515e-08,0.08209183673469388,False
-2.2448979591836738e-08,0.5308469387755101,False
-3.4693877551020406e-08,0.2860714285714286,False
-8.36734693877551e-08,0.306469387755102,False
-9.183673469387755e-08,0.7756224489795918,False
-6.326530612244898e-08,0.612438775510204,False
-1e-07,0.6328367346938775,False
7.551020408163266e-08,0.08209183673469388,False
-3.4693877551020406e-08,0.306469387755102,False
-7.142857142857142e-08,0.2044795918367347,False
-1.428571428571428e-08,0.6940306122448979,False
3.877551020408163e-08,0.918408163265306,False
-1.428571428571428e-08,0.04129591836734694,False
-5.9183673469387755e-08,0.3880612244897959,False
-3.0612244897959183e-08,0.22487755102040816,False
1.4285714285714293e-08,0.8164183673469387,False
1.8367346938775515e-08,0.02089795918367347,False
-1e-07,0.8572142857142856,False
1.8367346938775515e-08,0.7756224489795918,False
-7.551020408163265e-08,0.6940306122448979,False
6.734693877551021e-08,0.7144285714285714,False
-8.36734693877551e-08,0.2860714285714286,False
9.591836734693877e-08,0.8164183673469387,False
-3.0612244897959183e-08,0.7756224489795918,False
-7.551020408163265e-08,0.7552244897959183,False
3.877551020408163e-08,0.4696530612244898,False
4.6938775510204074e-08,0.061693877551020404,False
6.326530612244896e-08,0.6940306122448979,False
-3.877551020408163e-08,0.08209183673469388,False
8.775510204081633e-08,0.5920408163265305,False
3.877551020408163e-08,0.6940306122448979,False
-1.0204081632653057e-08,0.4696530612244898,False
-5.5102040816326526e-08,0.653234693877551,False
-5.9183673469387755e-08,0.3676632653061224,False
-9.183673469387755e-08,0.4492551020408163,False
5.510204081632652e-08,0.7756224489795918,False
-5.5102040816326526e-08,0.04129591836734694,False
1e-07,0.7144285714285714,False
5.510204081632652e-08,0.8776122448979591,False
3.877551020408163e-08,0.3880612244897959,False
6.734693877551021e-08,0.22487755102040816,False
-7.959183673469388e-08,0.5512448979591836,False
-8.775510204081633e-08,0.10248979591836735,False
4.6938775510204074e-08,0.8572142857142856,False
-1.0204081632653057e-08,0.7348265306122448,False
5.510204081632652e-08,0.7348265306122448,False
2.653061224489796e-08,0.2044795918367347,False
9.183673469387755e-08,0.6736326530612244,False
3.4693877551020406e-08,0.1432857142857143,False
5.918367346938774e-08,0.3268673469387755,False
1e-07,0.653234693877551,False
-9.183673469387755e-08,0.02089795918367347,False
3.0612244897959183e-08,0.5104489795918367,False
1e-07,0.22487755102040816,False
-4.285714285714285e-08,0.959204081632653,False
3.877551020408163e-08,0.12288775510204081,False
-7.142857142857142e-08,0.4696530612244898,False
-4.285714285714285e-08,0.4084591836734694,False
-3.4693877551020406e-08,0.061693877551020404,False
