Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
         150886595 function calls (150792609 primitive calls) in 181.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1170/1    0.008    0.000  181.415  181.415 {built-in method builtins.exec}
        1    1.262    1.262  181.415  181.415 watercolumn-sw_2species.py:1(<module>)
   259199   41.432    0.000  163.285    0.001 watercolumn-sw_2species.py:285(wc_advance)
   259199   22.180    0.000   84.199    0.000 phytoplankton.py:122(calc_self_shading)
 20735922   13.184    0.000   60.132    0.000 fromnumeric.py:2177(sum)
 20735922   16.853    0.000   44.728    0.000 fromnumeric.py:71(_wrapreduction)
      151    0.003    0.000   36.142    0.239 __init__.py:1(<module>)
 20735923   25.357    0.000   25.357    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1326/82    0.007    0.000   19.540    0.238 <frozen importlib._bootstrap>:1349(_find_and_load)
  1288/51    0.005    0.000   19.539    0.383 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  3062/70    0.029    0.000   19.244    0.275 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  1242/51    0.004    0.000   19.128    0.375 <frozen importlib._bootstrap>:911(_load_unlocked)
  1100/50    0.003    0.000   19.123    0.382 <frozen importlib._bootstrap_external>:989(exec_module)
  742/111    0.001    0.000   14.748    0.133 {built-in method builtins.__import__}
8364/7081    0.007    0.000   13.363    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     1100    0.009    0.000    9.955    0.009 <frozen importlib._bootstrap_external>:1062(get_code)
   518398    8.707    0.000    9.665    0.000 watercolumn_lib.py:336(advance_algae)
        1    0.000    0.000    9.125    9.125 watercolumn_lib.py:1(<module>)
     1101    0.004    0.000    8.980    0.008 <frozen importlib._bootstrap_external>:1183(get_data)
     4874    6.062    0.001    6.062    0.001 {built-in method posix.stat}
     4831    0.002    0.000    6.038    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
     1281    0.009    0.000    5.558    0.004 <frozen importlib._bootstrap>:1240(_find_spec)
     1276    0.001    0.000    5.540    0.004 <frozen importlib._bootstrap_external>:1520(find_spec)
     1276    0.003    0.000    5.539    0.004 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1735    0.014    0.000    5.362    0.003 <frozen importlib._bootstrap_external>:1593(find_spec)
   259199    4.542    0.000    5.056    0.000 watercolumn_lib.py:378(advance_velocity)
     1101    4.836    0.004    4.836    0.004 {built-in method _io.open_code}
        1    0.000    0.000    4.386    4.386 dispatcher.py:388(_compile_for_args)
     1852    0.002    0.000    3.944    0.002 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1705    0.001    0.000    3.878    0.002 <frozen importlib._bootstrap_external>:159(_path_isfile)
       10    0.000    0.000    3.857    0.386 api.py:1(<module>)
  2332791    1.483    0.000    3.741    0.000 watercolumn_lib.py:80(initialize_abcd)
     15/1    0.000    0.000    3.233    3.233 dispatcher.py:907(compile)
      5/1    0.000    0.000    3.232    3.232 dispatcher.py:124(compile)
      5/1    0.000    0.000    3.232    3.232 dispatcher.py:131(_compile_cached)
      5/1    0.000    0.000    3.232    3.232 dispatcher.py:146(_compile_core)
      5/1    0.000    0.000    3.232    3.232 compiler.py:725(compile_extra)
     1106    3.207    0.003    3.207    0.003 {method 'read' of '_io.BufferedReader' objects}
   259200    2.922    0.000    2.922    0.000 watercolumn-sw_2species.py:175(calculate_sm)
        6    0.000    0.000    2.752    0.459 compiler.py:397(__init__)
        1    0.000    0.000    2.717    2.717 pyplot.py:1(<module>)
   518398    0.852    0.000    2.659    0.000 phytoplankton.py:87(get_loss_and_growth)
1242/1235    0.002    0.000    2.544    0.002 <frozen importlib._bootstrap>:806(module_from_spec)
 20739505    2.519    0.000    2.519    0.000 {method 'items' of 'dict' objects}
  133/131    0.000    0.000    2.518    0.019 <frozen importlib._bootstrap_external>:1287(create_module)
  133/131    2.451    0.018    2.517    0.019 {built-in method _imp.create_dynamic}
 10108778    2.496    0.000    2.496    0.000 {built-in method numpy.zeros}
   261000    2.475    0.000    2.475    0.000 {built-in method builtins.sum}
   286/40    0.000    0.000    2.471    0.062 base.py:261(refresh)
      286    0.003    0.000    2.439    0.009 cpu.py:60(load_additional_registries)
20986488/20986487    2.250    0.000    2.260    0.000 {built-in method builtins.isinstance}
   259199    1.893    0.000    2.208    0.000 watercolumn-sw_2species.py:184(calculate_brunt_vaisala)
   518398    1.807    0.000    1.807    0.000 phytoplankton.py:66(monod_growth_rate)
 20735922    1.803    0.000    1.803    0.000 fromnumeric.py:2172(_sum_dispatcher)
        1    0.000    0.000    1.635    1.635 arraymath.py:1(<module>)
        1    0.000    0.000    1.628    1.628 arraymath.py:32(_check_blas)
        1    0.000    0.000    1.628    1.628 linalg.py:55(ensure_blas)
        3    0.000    0.000    1.504    0.501 generic.py:1(<module>)
   259199    0.605    0.000    1.473    0.000 watercolumn_lib.py:67(diurnal_light)
   777598    1.468    0.000    1.468    0.000 _methods.py:90(_clip)
        1    0.000    0.000    1.454    1.454 pyarrow.py:1(<module>)
   518399    0.318    0.000    1.302    0.000 {method 'clip' of 'numpy.ndarray' objects}
   259200    1.272    0.000    1.272    0.000 watercolumn-sw_2species.py:181(calculate_sh)
   259200    0.279    0.000    1.241    0.000 fromnumeric.py:2100(clip)
        1    0.000    0.000    1.234    1.234 figure.py:1(<module>)
      257    1.225    0.005    1.230    0.005 {built-in method _io.open}
        1    0.000    0.000    1.183    1.183 watercolumn_run_lib.py:1(<module>)
        3    0.000    0.000    1.157    0.386 decorators.py:1(<module>)
      287    0.000    0.000    1.154    0.004 entrypoints.py:23(init_all)
        1    0.000    0.000    1.153    1.153 dispatcher.py:281(_compilation_chain_init_hook)
        1    0.000    0.000    1.153    1.153 __init__.py:901(entry_points)
      216    0.000    0.000    1.153    0.005 __init__.py:910(<genexpr>)
      217    0.001    0.000    1.148    0.005 __init__.py:811(read_text)
      217    0.000    0.000    1.146    0.005 pathlib.py:1022(read_text)
      215    0.000    0.000    1.129    0.005 __init__.py:469(entry_points)
        1    0.000    0.000    1.124    1.124 colorbar.py:1(<module>)
        1    0.000    0.000    1.065    1.065 stencil.py:1(<module>)
      217    0.000    0.000    1.056    0.005 pathlib.py:1005(open)
        1    0.000    0.000    1.004    1.004 contour.py:1(<module>)
  3110390    1.001    0.000    1.001    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.985    0.985 backend_bases.py:1(<module>)
     1204    0.973    0.001    0.973    0.001 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.970    0.970 _sketches.py:1(<module>)
   259200    0.174    0.000    0.962    0.000 fromnumeric.py:53(_wrapfunc)
        2    0.000    0.000    0.892    0.446 array.py:1(<module>)
        1    0.000    0.000    0.869    0.869 rcsetup.py:1(<module>)
   259199    0.384    0.000    0.868    0.000 {method 'clip' of 'numpy.generic' objects}
        3    0.000    0.000    0.822    0.274 registry.py:1(<module>)
        2    0.000    0.000    0.804    0.402 __config__.py:1(<module>)
        1    0.000    0.000    0.804    0.804 dispatcher.py:1(<module>)
     1100    0.001    0.000    0.787    0.001 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.784    0.784 assertions.py:1(<module>)
        1    0.000    0.000    0.764    0.764 compiler.py:1(<module>)
        1    0.000    0.000    0.752    0.752 frame.py:1(<module>)
        2    0.000    0.000    0.749    0.375 config.py:1(<module>)
   133/95    0.000    0.000    0.697    0.007 <frozen importlib._bootstrap_external>:1295(exec_module)
   133/95    0.069    0.001    0.697    0.007 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.649    0.649 colors.py:1(<module>)
        1    0.000    0.000    0.598    0.598 _laplacian.py:1(<module>)
        1    0.000    0.000    0.597    0.597 _axes.py:1(<module>)
  443/274    0.001    0.000    0.530    0.002 compiler_lock.py:32(_acquire_compile_lock)
      6/1    0.000    0.000    0.494    0.494 compiler.py:439(compile_extra)
      6/1    0.000    0.000    0.493    0.493 compiler.py:508(_compile_bytecode)
      6/1    0.000    0.000    0.493    0.493 compiler.py:462(_compile_core)
      6/1    0.000    0.000    0.493    0.493 compiler_machinery.py:342(run)
   156/26    0.003    0.000    0.492    0.019 compiler_machinery.py:268(_runPass)
3780/3663    0.034    0.000    0.491    0.000 {built-in method builtins.__build_class__}
   468/78    0.001    0.000    0.481    0.006 compiler_machinery.py:272(check)
  1295995    0.460    0.000    0.460    0.000 serialize.py:30(_numba_unpickle)
        1    0.000    0.000    0.444    0.444 cpu.py:1(<module>)
    50/48    0.000    0.000    0.413    0.009 __init__.py:73(import_module)
    50/48    0.000    0.000    0.412    0.009 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.406    0.406 text.py:1(<module>)
        1    0.000    0.000    0.391    0.391 Image.py:1(<module>)
        4    0.001    0.000    0.333    0.083 core.py:1(<module>)
   292/46    0.000    0.000    0.329    0.007 context.py:153(refresh)
        1    0.000    0.000    0.326    0.326 dylib.py:1(<module>)
37412/37177    0.008    0.000    0.325    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.320    0.160 category.py:1(<module>)
       13    0.000    0.000    0.317    0.024 common.py:1(<module>)
      6/4    0.000    0.000    0.309    0.077 typed_passes.py:437(run_pass)
     3280    0.001    0.000    0.304    0.000 ffi.py:134(__getattr__)
      250    0.000    0.000    0.302    0.001 ffi.py:127(_lib)
        1    0.000    0.000    0.302    0.302 ffi.py:112(_load_lib)
        1    0.000    0.000    0.300    0.300 shutil.py:1(<module>)
        1    0.000    0.000    0.281    0.281 backend_tools.py:1(<module>)
        1    0.000    0.000    0.276    0.276 _parser.py:1(<module>)
        2    0.000    0.000    0.269    0.135 __init__.py:343(__init__)
        2    0.269    0.135    0.269    0.135 {built-in method _ctypes.dlopen}
       10    0.000    0.000    0.267    0.027 base.py:1(<module>)
      6/1    0.000    0.000    0.267    0.267 typed_passes.py:105(run_pass)
      6/1    0.000    0.000    0.266    0.266 typed_passes.py:68(type_inference_stage)
      6/1    0.000    0.000    0.264    0.264 typeinfer.py:1072(propagate)
     12/2    0.000    0.000    0.264    0.132 typeinfer.py:147(propagate)
  125/111    0.002    0.000    0.262    0.002 functions.py:281(get_call_type)
        1    0.000    0.000    0.262    0.262 textpath.py:1(<module>)
    88/76    0.001    0.000    0.256    0.003 typeinfer.py:585(resolve)
      154    0.256    0.002    0.256    0.002 {built-in method posix.listdir}
        2    0.000    0.000    0.256    0.128 __init__.py:12(__getattr__)
    94/82    0.000    0.000    0.254    0.003 context.py:189(resolve_function_type)
    88/76    0.000    0.000    0.254    0.003 typeinfer.py:1539(resolve_call)
    94/82    0.000    0.000    0.254    0.003 context.py:233(_resolve_user_function_type)
        1    0.000    0.000    0.250    0.250 tutorial.py:1(<module>)
  496/478    0.001    0.000    0.249    0.001 templates.py:349(apply)
        1    0.000    0.000    0.248    0.248 index_tricks.py:1(<module>)
        4    0.000    0.000    0.248    0.062 accessor.py:1(<module>)
      143    0.001    0.000    0.243    0.002 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        3    0.000    0.000    0.243    0.081 _base.py:1(<module>)
      292    0.001    0.000    0.242    0.001 context.py:700(load_additional_registries)
     18/6    0.000    0.000    0.238    0.040 typeinfer.py:575(__call__)
     10/2    0.000    0.000    0.237    0.119 templates.py:607(generic)
     10/2    0.000    0.000    0.237    0.118 templates.py:698(_get_impl)
      4/1    0.000    0.000    0.237    0.237 templates.py:749(_build_impl)
     14/3    0.000    0.000    0.237    0.079 functions.py:534(get_call_type)
     14/3    0.000    0.000    0.237    0.079 dispatcher.py:348(get_call_template)
       30    0.052    0.002    0.236    0.008 __init__.py:847(_rc_params_in_file)
        2    0.000    0.000    0.234    0.117 builtins.py:1(<module>)
        1    0.000    0.000    0.228    0.228 ir_utils.py:1(<module>)
      105    0.003    0.000    0.226    0.002 artist.py:159(_update_set_signature_and_docstring)
        1    0.000    0.000    0.225    0.225 entrypoints.py:1(<module>)
        1    0.000    0.000    0.224    0.224 coordinates.py:1(<module>)
      104    0.000    0.000    0.222    0.002 artist.py:126(__init_subclass__)
        3    0.000    0.000    0.221    0.074 indexing.py:1(<module>)
        1    0.000    0.000    0.218    0.218 linsolve.py:1(<module>)
26172/25793    0.006    0.000    0.217    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.213    0.107 core.py:206(read_style_directory)
        1    0.000    0.000    0.213    0.213 multiarray.py:1(<module>)
        1    0.000    0.000    0.205    0.205 overrides.py:1(<module>)
        2    0.000    0.000    0.204    0.102 accessors.py:1(<module>)
        1    0.000    0.000    0.203    0.203 _basic.py:1(<module>)
        1    0.000    0.000    0.203    0.203 alignment.py:1(<module>)
        1    0.000    0.000    0.199    0.199 dataarray.py:1(<module>)
        1    0.000    0.000    0.199    0.199 _pickle.py:1(<module>)
        1    0.000    0.000    0.197    0.197 defmatrix.py:1(<module>)
        1    0.000    0.000    0.190    0.190 special.py:1(<module>)
        1    0.000    0.000    0.188    0.188 compute.py:1(<module>)
      6/4    0.000    0.000    0.187    0.047 lowering.py:182(lower)
        1    0.000    0.000    0.186    0.186 variable.py:1(<module>)
        3    0.000    0.000    0.182    0.061 linalg.py:1(<module>)
        5    0.000    0.000    0.177    0.035 context.py:1(<module>)
      117    0.000    0.000    0.175    0.001 artist.py:1837(kwdoc)
     1879    0.001    0.000    0.174    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      143    0.001    0.000    0.173    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.172    0.172 _decomp.py:1(<module>)
        1    0.000    0.000    0.170    0.170 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.168    0.168 algorithms.py:1(<module>)
        1    0.000    0.000    0.165    0.165 duck_array_ops.py:1(<module>)
       60    0.000    0.000    0.165    0.003 __init__.py:829(_open_file_or_url)
        1    0.000    0.000    0.162    0.162 codegen.py:1(<module>)
1655/1466    0.001    0.000    0.160    0.000 contextlib.py:132(__enter__)
      6/4    0.000    0.000    0.158    0.039 lowering.py:218(lower_normal_function)
        1    0.000    0.000    0.157    0.157 numerictypes.py:1(<module>)
        1    0.000    0.000    0.157    0.157 callconv.py:1(<module>)
      6/4    0.000    0.000    0.155    0.039 lowering.py:235(lower_function_body)
    12/10    0.001    0.000    0.155    0.015 lowering.py:260(lower_block)
        2    0.000    0.000    0.153    0.077 extending.py:1(<module>)
  218/194    0.001    0.000    0.153    0.001 lowering.py:442(lower_inst)
      117    0.004    0.000    0.148    0.001 artist.py:1598(pprint_setters)
     2929    0.113    0.000    0.147    0.000 ffi.py:190(__call__)
   102/90    0.000    0.000    0.138    0.002 lowering.py:650(lower_assign)
        1    0.000    0.000    0.136    0.136 _type_aliases.py:1(<module>)
     1099    0.020    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        4    0.000    0.000    0.134    0.034 _util.py:1(<module>)
       10    0.000    0.000    0.129    0.013 utils.py:1(<module>)
        2    0.000    0.000    0.128    0.064 _adapters.py:1(<module>)
    58/53    0.000    0.000    0.127    0.002 lowering.py:1170(lower_expr)
        1    0.000    0.000    0.126    0.126 dask_array_ops.py:1(<module>)
        3    0.000    0.000    0.126    0.042 dtypes.py:1(<module>)
        1    0.000    0.000    0.124    0.124 _array_api.py:1(<module>)
        3    0.000    0.000    0.124    0.041 datetimes.py:1(<module>)
        1    0.000    0.000    0.121    0.121 cffi_utils.py:1(<module>)
        1    0.000    0.000    0.121    0.121 api.py:41(__init__)
        1    0.000    0.000    0.121    0.121 containers.py:1(<module>)
     4252    0.009    0.000    0.121    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.118    0.118 secrets.py:1(<module>)
        1    0.000    0.000    0.118    0.118 pythonapi.py:1(<module>)
        1    0.000    0.000    0.117    0.117 scale.py:1(<module>)
        1    0.000    0.000    0.117    0.117 __init__.py:240(_check_versions)
        1    0.000    0.000    0.116    0.116 describe.py:1(<module>)
     1099    0.112    0.000    0.112    0.000 {built-in method marshal.loads}
   518399    0.110    0.000    0.110    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.107    0.107 py3k.py:1(<module>)
    50/46    0.000    0.000    0.107    0.002 base.py:1189(__call__)
    50/46    0.000    0.000    0.107    0.002 base.py:1218(wrapper)
      143    0.001    0.000    0.104    0.001 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.104    0.104 axis.py:1(<module>)
        1    0.000    0.000    0.103    0.103 cparser.py:1(<module>)
        1    0.000    0.000    0.099    0.099 charseq.py:1(<module>)
395510/395458    0.089    0.000    0.096    0.000 {built-in method builtins.getattr}
   292/46    0.001    0.000    0.096    0.002 context.py:415(_load_builtins)
        7    0.000    0.000    0.096    0.014 codegen.py:739(finalize)
        1    0.000    0.000    0.096    0.096 message.py:1(<module>)
        1    0.000    0.000    0.095    0.095 _json.py:1(<module>)
        2    0.000    0.000    0.092    0.046 collections.py:1(<module>)
        1    0.000    0.000    0.090    0.090 ewm.py:1(<module>)
        1    0.000    0.000    0.089    0.089 string_.py:1(<module>)
        2    0.001    0.000    0.089    0.044 unicode.py:1(<module>)
     7303    0.049    0.000    0.088    0.000 inspect.py:875(cleandoc)
      9/7    0.000    0.000    0.087    0.012 lowering.py:900(lower_call)
        4    0.000    0.000    0.087    0.022 functions.py:389(get_call_type)
        1    0.000    0.000    0.087    0.087 ticker.py:1(<module>)
        4    0.000    0.000    0.087    0.022 templates.py:1136(generic)
        6    0.000    0.000    0.087    0.014 templates.py:1076(_get_signature)
      9/7    0.000    0.000    0.087    0.012 lowering.py:1142(_lower_call_normal)
        1    0.000    0.000    0.087    0.087 npytypes.py:1(<module>)
        1    0.000    0.000    0.087    0.087 __init__.py:13(_ensure_critical_deps)
        2    0.000    0.000    0.086    0.043 format.py:1(<module>)
        3    0.000    0.000    0.085    0.028 readers.py:1(<module>)
     7315    0.005    0.000    0.083    0.000 inspect.py:856(getdoc)
        1    0.000    0.000    0.083    0.083 axes3d.py:1(<module>)
        1    0.000    0.000    0.083    0.083 series.py:1(<module>)
        3    0.000    0.000    0.081    0.027 numeric.py:1(<module>)
        1    0.000    0.000    0.081    0.081 units.py:1(<module>)
    30/19    0.000    0.000    0.081    0.004 codegen.py:565(_ensure_finalized)
        1    0.000    0.000    0.081    0.081 arrayobj.py:4356(codegen)
        1    0.000    0.000    0.079    0.079 arrayobj.py:4164(_empty_nd_impl)
        1    0.000    0.000    0.079    0.079 array_ops.py:1(<module>)
        1    0.000    0.000    0.079    0.079 masked.py:1(<module>)
        1    0.000    0.000    0.077    0.077 base.py:876(compile_internal)
        5    0.000    0.000    0.077    0.015 cpu.py:225(get_executable)
        1    0.000    0.000    0.076    0.076 base.py:847(compile_subroutine)
        1    0.000    0.000    0.076    0.076 base.py:809(_compile_subroutine_no_cache)
        5    0.000    0.000    0.076    0.015 codegen.py:975(get_pointer_to_function)
        1    0.000    0.000    0.076    0.076 datatree.py:1(<module>)
        1    0.000    0.000    0.074    0.074 dataset.py:1(<module>)
       53    0.072    0.001    0.072    0.001 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.072    0.072 file_manager.py:1(<module>)
        1    0.000    0.000    0.071    0.071 compiler.py:818(compile_internal)
        1    0.000    0.000    0.071    0.071 lowering.py:1(<module>)
     9418    0.007    0.000    0.070    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.070    0.070 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.070    0.070 c_parser.py:1(<module>)
        1    0.000    0.000    0.069    0.069 typeof.py:1(<module>)
      143    0.000    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      147    0.000    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.067    0.067 parfor_lowering.py:1(<module>)
        5    0.000    0.000    0.067    0.013 transforms.py:1(<module>)
        2    0.000    0.000    0.067    0.034 hashing.py:1(<module>)
        1    0.000    0.000    0.067    0.067 decimal.py:1(<module>)
        2    0.000    0.000    0.067    0.033 categorical.py:1(<module>)
        1    0.000    0.000    0.065    0.065 font_manager.py:1(<module>)
        2    0.000    0.000    0.064    0.032 _matfuncs.py:1(<module>)
        2    0.000    0.000    0.064    0.032 testing.py:1(<module>)
       12    0.000    0.000    0.063    0.005 codegen.py:723(add_ir_module)
        2    0.000    0.000    0.062    0.031 _misc.py:1(<module>)
        1    0.000    0.000    0.062    0.062 interpreter.py:1(<module>)
    25/23    0.000    0.000    0.061    0.003 __init__.py:10(__getattr__)
        7    0.000    0.000    0.061    0.009 codegen.py:781(_finalize_final_module)
        2    0.000    0.000    0.060    0.030 errors.py:1(<module>)
      223    0.000    0.000    0.060    0.000 artist.py:1422(__init__)
        1    0.000    0.000    0.060    0.060 numpy_support.py:1(<module>)
        1    0.000    0.000    0.059    0.059 eval.py:1(<module>)
      223    0.019    0.000    0.059    0.000 artist.py:1442(get_aliases)
        2    0.000    0.000    0.059    0.029 __init__.py:882(version)
      294    0.001    0.000    0.058    0.000 _compiler.py:740(compile)
 2628/414    0.005    0.000    0.057    0.000 context.py:428(install_registry)
        1    0.000    0.000    0.057    0.057 nputils.py:1(<module>)
        1    0.000    0.000    0.056    0.056 locks.py:1(<module>)
        1    0.000    0.000    0.056    0.056 calendar_ops.py:1(<module>)
        1    0.000    0.000    0.056    0.056 pathlib.py:1(<module>)
      169    0.001    0.000    0.055    0.000 pprint.py:57(pformat)
        1    0.000    0.000    0.054    0.054 loader.py:1(<module>)
      169    0.000    0.000    0.054    0.000 pprint.py:159(pformat)
 4108/169    0.004    0.000    0.054    0.000 pprint.py:171(_format)
        1    0.000    0.000    0.052    0.052 _base.py:1435(ExcelFile)
        4    0.000    0.000    0.052    0.013 utils.py:38(module_available)
        1    0.000    0.000    0.052    0.052 cgutils.py:1(<module>)
        1    0.000    0.000    0.052    0.052 hmac.py:1(<module>)
        2    0.000    0.000    0.051    0.025 shape_base.py:1(<module>)
        1    0.000    0.000    0.050    0.050 numpy_.py:1(<module>)
      246    0.000    0.000    0.049    0.000 templates.py:1047(__init__)
        2    0.000    0.000    0.049    0.024 _internal.py:1(<module>)
        1    0.000    0.000    0.049    0.049 _csr.py:1(<module>)
      239    0.001    0.000    0.048    0.000 templates.py:1093(_init_once)
        7    0.000    0.000    0.048    0.007 codegen.py:996(_finalize_specific)
      252    0.001    0.000    0.048    0.000 templates.py:900(_get_target_registry)
        4    0.000    0.000    0.047    0.012 ops.py:1(<module>)
        2    0.000    0.000    0.047    0.023 module.py:1(<module>)
        2    0.000    0.000    0.047    0.023 pickle.py:1(<module>)
  421/266    0.000    0.000    0.047    0.000 functools.py:979(__get__)
        1    0.000    0.000    0.046    0.046 cftime_offsets.py:1(<module>)
        1    0.000    0.000    0.045    0.045 generator_methods.py:1(<module>)
        1    0.000    0.000    0.044    0.044 randomimpl.py:1(<module>)
        1    0.000    0.000    0.044    0.044 debuginfo.py:1(<module>)
        1    0.000    0.000    0.044    0.044 formatting.py:1(<module>)
        1    0.001    0.001    0.043    0.043 compute.py:306(_make_global_functions)
        2    0.000    0.000    0.043    0.022 datetimelike.py:1(<module>)
      261    0.001    0.000    0.043    0.000 compute.py:290(_wrap_function)
     1116    0.001    0.000    0.042    0.000 inspect.py:3308(signature)
        1    0.000    0.000    0.042    0.042 patches.py:1(<module>)
        1    0.000    0.000    0.042    0.042 subprocess.py:1(<module>)
        1    0.000    0.000    0.042    0.042 tz.py:1(<module>)
       14    0.000    0.000    0.042    0.003 codegen.py:1058(wrapper)
     1116    0.001    0.000    0.042    0.000 inspect.py:3050(from_callable)
        7    0.000    0.000    0.042    0.006 executionengine.py:94(finalize_object)
      366    0.000    0.000    0.041    0.000 __init__.py:226(compile)
1451/1117    0.006    0.000    0.041    0.000 inspect.py:2470(_signature_from_callable)
        1    0.000    0.000    0.040    0.040 rules.py:1(<module>)
        2    0.000    0.000    0.040    0.020 _constants.py:1(<module>)
        2    0.000    0.000    0.039    0.019 __init__.py:464(version)
        2    0.000    0.000    0.039    0.019 __init__.py:436(metadata)
        1    0.000    0.000    0.039    0.039 parfor.py:1(<module>)
