Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
         150692517 function calls (150666987 primitive calls) in 294.683 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    733/1    0.005    0.000  294.685  294.685 {built-in method builtins.exec}
        1    1.129    1.129  294.685  294.685 watercolumn-sw_2species.py:1(<module>)
   259199   37.784    0.000  279.634    0.001 watercolumn-sw_2species.py:285(wc_advance)
  1295995  125.434    0.000  125.824    0.000 watercolumn_lib.py:86(TDMA)
   259199   21.894    0.000   83.808    0.000 phytoplankton.py:122(calc_self_shading)
 20735922   13.263    0.000   60.073    0.000 fromnumeric.py:2177(sum)
 20735922   16.346    0.000   44.634    0.000 fromnumeric.py:71(_wrapreduction)
      106    0.002    0.000   26.940    0.254 __init__.py:1(<module>)
 20735923   25.755    0.000   25.755    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    846/7    0.005    0.000   13.914    1.988 <frozen importlib._bootstrap>:1349(_find_and_load)
    842/7    0.003    0.000   13.914    1.988 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    810/7    0.003    0.000   13.646    1.949 <frozen importlib._bootstrap>:911(_load_unlocked)
    705/6    0.002    0.000   13.632    2.272 <frozen importlib._bootstrap_external>:989(exec_module)
  1954/15    0.002    0.000   13.398    0.893 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   534/63    0.001    0.000   10.208    0.162 {built-in method builtins.__import__}
   518398    8.446    0.000    9.335    0.000 watercolumn_lib.py:332(advance_algae)
 1125/434    0.002    0.000    9.260    0.021 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      705    0.006    0.000    7.222    0.010 <frozen importlib._bootstrap_external>:1062(get_code)
      705    0.002    0.000    5.855    0.008 <frozen importlib._bootstrap_external>:1183(get_data)
     3316    5.240    0.002    5.240    0.002 {built-in method posix.stat}
     3289    0.002    0.000    5.225    0.002 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    5.128    5.128 watercolumn_lib.py:1(<module>)
   259199    4.443    0.000    4.947    0.000 watercolumn_lib.py:374(advance_velocity)
      840    0.006    0.000    4.329    0.005 <frozen importlib._bootstrap>:1240(_find_spec)
      835    0.001    0.000    4.317    0.005 <frozen importlib._bootstrap_external>:1520(find_spec)
      835    0.002    0.000    4.316    0.005 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1254    0.010    0.000    4.146    0.003 <frozen importlib._bootstrap_external>:1593(find_spec)
  2332791    1.428    0.000    3.669    0.000 watercolumn_lib.py:79(initialize_abcd)
      705    3.086    0.004    3.086    0.004 {built-in method _io.open_code}
       10    0.000    0.000    2.992    0.299 api.py:1(<module>)
   259200    2.927    0.000    2.927    0.000 watercolumn-sw_2species.py:175(calculate_sm)
 11404773    2.864    0.000    2.864    0.000 {built-in method numpy.zeros}
   518398    0.835    0.000    2.659    0.000 phytoplankton.py:87(get_loss_and_growth)
     1233    0.001    0.000    2.619    0.002 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1134    0.001    0.000    2.558    0.002 <frozen importlib._bootstrap_external>:159(_path_isfile)
 20736874    2.533    0.000    2.533    0.000 {method 'items' of 'dict' objects}
   260999    2.444    0.000    2.444    0.000 {built-in method builtins.sum}
      710    2.386    0.003    2.386    0.003 {method 'read' of '_io.BufferedReader' objects}
20826311/20826310    2.189    0.000    2.191    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    2.155    2.155 watercolumn_run_lib.py:1(<module>)
   259199    1.837    0.000    2.133    0.000 watercolumn-sw_2species.py:184(calculate_brunt_vaisala)
        1    0.000    0.000    1.991    1.991 pyplot.py:1(<module>)
   518398    1.824    0.000    1.824    0.000 phytoplankton.py:66(monod_growth_rate)
 20735922    1.765    0.000    1.765    0.000 fromnumeric.py:2172(_sum_dispatcher)
        3    0.000    0.000    1.523    0.508 generic.py:1(<module>)
   777598    1.462    0.000    1.462    0.000 _methods.py:90(_clip)
   259199    0.591    0.000    1.445    0.000 watercolumn_lib.py:66(diurnal_light)
  810/804    0.001    0.000    1.426    0.002 <frozen importlib._bootstrap>:806(module_from_spec)
    97/96    0.000    0.000    1.408    0.015 <frozen importlib._bootstrap_external>:1287(create_module)
    97/96    1.347    0.014    1.407    0.015 {built-in method _imp.create_dynamic}
   518399    0.305    0.000    1.291    0.000 {method 'clip' of 'numpy.ndarray' objects}
   259200    1.273    0.000    1.273    0.000 watercolumn-sw_2species.py:181(calculate_sh)
        1    0.000    0.000    1.237    1.237 assertions.py:1(<module>)
      705    0.001    0.000    1.235    0.002 <frozen importlib._bootstrap_external>:1202(path_stats)
   259200    0.262    0.000    1.213    0.000 fromnumeric.py:2100(clip)
        1    0.000    0.000    1.209    1.209 rcsetup.py:1(<module>)
        1    0.000    0.000    1.001    1.001 colors.py:1(<module>)
  3110390    0.981    0.000    0.981    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.964    0.964 colorbar.py:1(<module>)
