Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
Total time = 349.693185
         233169925 function calls (232271028 primitive calls) in 388.585 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1262/1    0.018    0.000  388.637  388.637 {built-in method builtins.exec}
        1    1.162    1.162  388.637  388.637 watercolumn-sw_2species.py:1(<module>)
   259199   37.804    0.000  340.047    0.001 watercolumn-sw_2species.py:283(wc_advance)
  1295995  128.030    0.000  128.407    0.000 watercolumn_lib.py:86(TDMA)
   259199   22.250    0.000   86.843    0.000 phytoplankton.py:122(calc_self_shading)
 20735924   13.407    0.000   62.759    0.000 fromnumeric.py:2177(sum)
 20747444   17.498    0.000   47.219    0.000 fromnumeric.py:71(_wrapreduction)
      145    0.003    0.000   35.293    0.243 __init__.py:1(<module>)
   259199   26.507    0.000   28.212    0.000 watercolumn-sw_2species.py:184(calculate_brunt_vaisala)
 20794443   27.231    0.000   27.231    0.000 {method 'reduce' of 'numpy.ufunc' objects}
3003/1747    0.008    0.000   19.148    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
  1249/21    0.005    0.000   19.144    0.912 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  1196/18    0.004    0.000   18.804    1.045 <frozen importlib._bootstrap>:911(_load_unlocked)
  1062/17    0.003    0.000   18.803    1.106 <frozen importlib._bootstrap_external>:989(exec_module)
  2835/36    0.002    0.000   18.613    0.517 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1725    0.022    0.000   15.583    0.009 concat.py:65(concat)
     1725    0.476    0.000   15.557    0.009 concat.py:476(_dataset_concat)
      863    0.263    0.000   15.019    0.017 watercolumn_run_lib.py:78(save_2d_data)
      985   14.068    0.014   14.068    0.014 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        5    0.000    0.000   13.775    2.755 figure.py:3234(savefig)
        5    0.000    0.000   13.775    2.755 backend_bases.py:2052(print_figure)
   610/85    0.001    0.000   13.676    0.161 {built-in method builtins.__import__}
      863    0.011    0.000   13.365    0.015 watercolumn_run_lib.py:65(save_1d_data)
        9    0.000    0.000   13.350    1.483 artist.py:93(draw_wrapper)
  16464/9    0.034    0.000   13.350    1.483 artist.py:54(draw_wrapper)
        9    0.000    0.000   13.350    1.483 figure.py:3134(draw)
     22/9    0.007    0.000   13.342    1.482 image.py:114(_draw_list_compositing_images)
       13    0.000    0.000   13.129    1.010 _base.py:3005(draw)
        4    0.000    0.000   12.736    3.184 watercolumn_run_lib.py:111(plot_profiles)
3255/2357    0.004    0.000   12.386    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        9    0.000    0.000   11.633    1.293 backend_bases.py:2043(<lambda>)
        9    0.000    0.000   11.633    1.293 backend_agg.py:450(print_png)
        9    0.000    0.000   11.633    1.293 backend_agg.py:440(_print_pil)
        9    0.000    0.000   11.212    1.246 backend_agg.py:381(draw)
      788    0.004    0.000   10.856    0.014 backend_agg.py:208(get_text_width_height_descent)
   518398    8.621    0.000    9.537    0.000 watercolumn_lib.py:332(advance_algae)
     1062    0.009    0.000    9.320    0.009 <frozen importlib._bootstrap_external>:1062(get_code)
     1726    0.010    0.000    8.596    0.005 generic.py:3249(to_xarray)
