tidal_phasing,wind_phasing,diatom_biomass,hab_biomass
0.0,2.0,0.2136563713572451,0.426654475840394
0.0,18.5,0.2137018819054255,0.42694572143571813
1.5,6.0,0.2137073776011931,0.42674807126538106
0.0,20.5,0.21373343191811006,0.42692726260056213
0.0,18.0,0.21370285417139212,0.4269455317883752
0.5,17.0,0.21369651669619272,0.4269368000621668
0.0,11.0,0.21371705227724977,0.4269436190664495
0.5,20.5,0.21372150736748552,0.42692097575213167
0.0,2.5,0.21365506055562938,0.42665021306246426
0.0,17.0,0.2137044961438332,0.4269455317884182
0.5,17.5,0.2136956807826484,0.42693680006211154
1.0,14.5,0.21368585137452017,0.42693064000725545
0.5,12.5,0.21370086892605794,0.4269368000624206
0.0,5.0,0.21371899900955285,0.4267122668846829
0.5,19.0,0.2136912801912233,0.4269409853089806
0.0,16.5,0.21370527033918438,0.4269455317885048
0.0,10.5,0.21371770101746865,0.42694449828651077
0.0,9.0,0.21375604578196897,0.42691241376400235
0.0,9.5,0.21375238190134008,0.42692578260069347
0.0,3.0,0.21366055771266723,0.42665187024817125
0.0,15.5,0.2137067275845567,0.4269455317885556
0.5,19.5,0.21369375850997202,0.4269449572359421
1.5,2.5,0.2136116916814702,0.4266411393377383
0.0,0.0,0.21371464057475287,0.42673094893717595
0.0,6.0,0.2137543489247874,0.42676552936760515
0.0,12.5,0.21370859683214524,0.42694553178870553
0.0,7.0,0.21376964523552844,0.42682780168371
0.0,22.0,0.21375094004064787,0.4268501237027165
3.0,3.5,0.2135817273272322,0.4266434490646961
0.0,10.0,0.213738869292637,0.4269376397180236
0.5,11.0,0.21370530135592844,0.42693608370091496
0.5,16.0,0.2136980658526131,0.426936800062252
1.5,22.0,0.2137163504800844,0.42684380033915814
0.5,22.5,0.21374291622503958,0.4268161461754022
0.0,3.5,0.2136696526378744,0.42665910145335956
0.5,7.0,0.21375456924763261,0.4268213910820072
0.5,1.5,0.21365154599199962,0.4266616666418422
0.5,9.5,0.21373560164623978,0.42691872293468935
2.5,7.0,0.21369213766356748,0.42679845411823236
0.0,14.0,0.21370819285196696,0.42694553178863254
0.5,6.5,0.21374775388761422,0.42678937034396575
0.0,5.5,0.2137382819255746,0.42674184662759357
0.5,7.5,0.21375508634056478,0.42684091059795504
0.5,0.0,0.21370773156603265,0.4267274607962184
0.5,3.5,0.2136531025925763,0.426654976275675
0.0,4.0,0.21368004027626164,0.4266721437474458
1.5,7.0,0.21372255691427217,0.4268090989291785
3.0,5.5,0.21364551450614608,0.4267084535510955
0.0,0.5,0.213694333284057,0.42670418296427715
1.5,10.0,0.21369495586201798,0.42691729043883053
0.5,12.0,0.2137008769545377,0.4269368000623625
0.5,10.0,0.21372456782754373,0.4269305392131953
0.5,18.0,0.21369489740401312,0.42693680006208246
0.0,7.5,0.21376939120017902,0.4268477654954907
2.0,17.0,0.2136501287199174,0.4269196448656093
1.0,9.5,0.21371900837285357,0.4269122410909695
0.5,11.5,0.2137014375475403,0.42693668060173984
2.0,15.0,0.21365312237934006,0.42691964486575423
0.0,1.0,0.21367887200967442,0.4266814636718547
0.0,11.5,0.21370988537656924,0.4269451854618779
1.5,23.0,0.21371784623486634,0.4267827472724374
3.0,9.5,0.21365530213819925,0.42689029093982545
0.5,2.5,0.21364025131611933,0.426646701623265
0.0,23.0,0.21374123721204089,0.4267918885033803
0.0,1.5,0.21366457374753403,0.4266646838057884
0.0,8.5,0.21376814268652408,0.42689580585109943
1.0,12.5,0.21368711241304644,0.42693064000733166
0.0,16.0,0.21370604064452298,0.4269455317885391
1.5,8.0,0.2137219071692936,0.42685448055378805
1.5,1.5,0.21362618561203842,0.4266575300625958
1.5,0.0,0.21368918609729987,0.42672391580745983
0.5,10.5,0.21370297516389622,0.4269381458269612
2.5,17.0,0.2136355504802937,0.42691454706520765
1.0,16.5,0.21368311510992574,0.4269306400071013
1.5,6.5,0.21371668461854393,0.4267752963611189
