,U,C,Q2,Q2L,rho,L,nu_t,Kz,Kq,N_BV,algae,biomass,net_growth
0,-0.604431748970365,17.499999999998053,0.0071204641700875725,4.861576966016174e-05,1000.0,0.1,0.0033088930278844415,0.0041689024411082475,0.0016886568573128335,0.0,135.1817455985336,10814.944727826225,-1.6666666666666667e-06
1,-0.6758410766705005,17.499999999998046,0.008454504719261874,0.0005082073733016269,1000.0,0.1,0.0036054697857997977,0.004542585321077898,0.001839967614642724,0.0,135.18182048909935,10814.944727826225,-1.6666666666666667e-06
2,-0.741999908547278,17.499999999998042,0.008417094652298483,0.0008805879999848499,1000.0,0.10460656910580277,0.003763160919591029,0.0047412741105669395,0.0019204201930776465,0.0,135.18196101116942,10814.944727826225,-1.6666666666666667e-06
3,-0.7937079851783052,17.49999999999804,0.008735790270424905,0.0013217223026620714,1000.0,0.15128236592061295,0.005543895760046541,0.006984976983040939,0.002828934869706303,0.0,135.18212787392156,10814.944727826225,-1.6666666666666667e-06
4,-0.8316031568618095,17.49999999999804,0.008669962070021442,0.001660423381946966,1000.0,0.1914924051723894,0.006990682628122687,0.008807909728563984,0.003567072336183095,0.0,135.18229306022573,10814.944727826225,-1.6666666666666667e-06
5,-0.8620817891127812,17.499999999998032,0.008556659142430135,0.0019795255584874835,1000.0,0.23131624262442335,0.008388944519846472,0.010569701631354558,0.004280452802236455,0.0,135.1824613396156,10814.944727826225,-1.6666666666666667e-06
6,-0.8875781010954223,17.49999999999803,0.008432618601737378,0.002284215614543181,1000.0,0.2708464447363814,0.0097509339188434,0.012285790662345182,0.0049753273732786145,0.0,135.1826325425447,10814.944727826225,-1.6666666666666667e-06
7,-0.9094847673363803,17.499999999998025,0.00830661483274708,0.002575212620050684,1000.0,0.3099821876550743,0.011076059790815617,0.013955432125963165,0.0056513945090006,0.0,135.18280650520794,10814.944727826225,-1.6666666666666667e-06
8,-0.9286835492355399,17.499999999998018,0.008181108836807715,0.002852647084214925,1000.0,0.34864448042809193,0.012362927243029776,0.015576868475401707,0.006307942547850239,0.0,135.1829831609404,10814.944727826225,-1.6666666666666667e-06
9,-0.9457683119380289,17.499999999998018,0.008056774809059832,0.003116590025117287,1000.0,0.38678048207715127,0.013610509305514022,0.01714880574177591,0.006944447539113087,0.0,135.18316250327564,10814.944727826225,-1.6666666666666667e-06
10,-0.9611577156239913,17.49999999999801,0.007933732531140509,0.00336713609316893,1000.0,0.42435407620286236,0.014818142572602703,0.01867040804252548,0.007560571019268294,0.0,135.1833445602823,10814.944727826225,-1.6666666666666667e-06
11,-0.9751577226540237,17.49999999999801,0.007811929812071995,0.0036044097454628957,1000.0,0.4613390664144471,0.01598541338811332,0.020141154176209427,0.008156101944703786,0.0,135.1835293807236,10814.944727826225,-1.6666666666666667e-06
12,-0.9879985784326082,17.49999999999801,0.007691269292873749,0.003828558730143508,1000.0,0.49771511947590685,0.017112069157311047,0.02156072587672813,0.008730911443889329,0.0,135.18371702675444,10814.944727826225,-1.6666666666666667e-06
13,-0.9998578151154688,17.499999999998007,0.007571650855692267,0.004039747253620689,1000.0,0.5334654047312986,0.018197960585598274,0.022928935034819128,0.00928492334808268,0.0,135.18390757001947,10814.944727826225,-1.6666666666666667e-06
14,-1.010875159068494,17.499999999998007,0.0074529846508229,0.004238150829210981,1000.0,0.5685752020891404,0.019243005382134973,0.024245677965088076,0.009818095673247684,0.0,135.18410108954524,10814.944727826225,-1.6666666666666667e-06
15,-1.0211625291066677,17.499999999998003,0.007335193755690829,0.004423952700934308,1000.0,0.6030310605554224,0.02024716542853252,0.025510906638858213,0.01033040897173008,0.0,135.18429767061116,10814.944727826225,-1.6666666666666667e-06
16,-1.0308109415235016,17.499999999998003,0.00721821334091918,0.0045973414230229374,1000.0,0.6368202747195146,0.02121043222785813,0.026724610350104098,0.010821858908472244,0.0,135.18449740417677,10814.944727826225,-1.6666666666666667e-06
17,-1.039895401104497,17.499999999998,0.007101988869868912,0.004758509232474972,1000.0,0.6699305489074758,0.02213281747119513,0.027886803829439553,0.011292451448158275,0.0,135.18470038663816,10814.944727826225,-1.6666666666666667e-06
18,-1.04847844294457,17.499999999997996,0.00698647423703224,0.00490765095559665,1000.0,0.7023497746277281,0.023014346811619,0.028997519399407964,0.011742199678753347,0.0,135.1849067197905,10814.944727826225,-1.6666666666666667e-06
19,-1.0566127476232416,17.499999999997996,0.006871630135677439,0.005044963273796668,1000.0,0.734065877866332,0.023855055683184564,0.030056801706460207,0.0121711216783891,0.0,135.18511651092612,10814.944727826225,-1.6666666666666667e-06
20,-1.0643431057827168,17.499999999997996,0.006757422714670378,0.0051706442327599435,1000.0,0.7650667102452952,0.02465498644731906,0.031064704125446842,0.012579239059479405,0.0,135.18532987302814,10814.944727826225,-1.6666666666666667e-06
21,-1.071707916881276,17.499999999997993,0.006643822503618662,0.005284892918247325,1000.0,0.7953399681284576,0.02541418641608115,0.03202128626894999,0.01296657596020514,0.0,135.18554692503707,10814.944727826225,-1.6666666666666667e-06
22,-1.0787403485128058,17.499999999997996,0.006530803562739488,0.005387909247380313,1000.0,0.8248731296996603,0.02613270646443654,0.03292661223876858,0.013333158336509868,0.0,135.1857677921777,10814.944727826225,-1.6666666666666667e-06
23,-1.0854692444486918,17.499999999997996,0.006418342812688674,0.0054798938410307,1000.0,0.8536534036161725,0.026810600044452057,0.033780749383815645,0.013679013459150641,0.0,135.1859926063392,10814.944727826225,-1.6666666666666667e-06
24,-1.0919198439808973,17.499999999997996,0.006306419505491265,0.00556104795397147,1000.0,0.8816676850382315,0.027447922477766524,0.03458376740864073,0.014004169552723095,0.0,135.1862215065059,10814.944727826225,-1.6666666666666667e-06
25,-1.0981143577030785,17.499999999997996,0.006195014805051506,0.0056315734467817,1000.0,0.9089025162093501,0.028044730443333842,0.035335737727992825,0.014308655534312641,0.0,135.18645463923852,10814.944727826225,-1.6666666666666667e-06
26,-1.1040724327628677,17.49999999999799,0.006084111452474753,0.005691672788429529,1000.0,0.9353440496335994,0.028601081603876567,0.03603673299615675,0.014592500822914483,0.0,135.18669215920812,10814.944727826225,-1.6666666666666667e-06
27,-1.109811532084271,17.499999999997993,0.005973693497035698,0.005741549081811249,1000.0,0.9609780124553465,0.02911703433195662,0.03668682676180571,0.014855735199677401,0.0,135.1869342297852,10814.944727826225,-1.6666666666666667e-06
28,-1.1153472459531426,17.499999999997993,0.005863746078057074,0.005781406106834464,1000.0,0.9857896710081914,0.02959264750827636,0.03728609321386329,0.015098388704998794,0.0,135.18718102368925,10814.944727826225,-1.6666666666666667e-06
29,-1.1206935499309532,17.499999999997996,0.005754255246382965,0.005811448377243794,1000.0,1.0097637947328477,0.03002798037277097,0.03783460699388178,0.01532049156255336,0.0,135.1874327237043,10814.944727826225,-1.6666666666666667e-06
30,-1.125863019811159,17.499999999998,0.005645207816739239,0.005831881208525516,1000.0,1.0328846188119065,0.03042309241451585,0.03833244305732696,0.01552207412312488,0.0,135.18768952346718,10814.944727826225,-1.6666666666666667e-06
31,-1.1308670119180582,17.499999999997996,0.005536591244251772,0.005842910795042646,1000.0,1.0551358049599286,0.030778043290267308,0.038779676570940357,0.015703166823046396,0.0,135.18795162833717,10814.944727826225,-1.6666666666666667e-06
32,-1.1357158152356015,17.499999999998,0.00542839351988975,0.005844744295144847,1000.0,1.0765003998574652,0.031092892764116045,0.039176382836703445,0.015863800153411975,0.0,135.18821925635578,10814.944727826225,-1.6666666666666667e-06
33,-1.1404187804795136,17.499999999998003,0.00532060308073322,0.005837589923436114,1000.0,1.09696079073823,0.031367700662612026,0.039522637235295574,0.01600400463718184,0.0,135.18849263930866,10814.944727826225,-1.6666666666666667e-06
34,-1.1449844301745749,17.499999999998003,0.005213208731820184,0.005821657049714412,1000.0,1.1164986576366265,0.03160252684105176,0.03981851518361637,0.01612381081198243,0.0,135.18877202390183,10814.944727826225,-1.6666666666666667e-06
35,-1.1494205529872457,17.499999999998,0.005106199576975829,0.005797156304353785,1000.0,1.135094921782263,0.031797431157564636,0.040064092102134824,0.016223249216885505,0.0,135.1890576730673,10814.944727826225,-1.6666666666666667e-06
36,-1.153734284932148,17.499999999997996,0.004999564956514652,0.005764299690103723,1000.0,1.1527296895911912,0.03195247345229961,0.04025944338866484,0.016302350381789357,0.0,135.18934986741547,10814.944727826225,-1.6666666666666667e-06
37,-1.157932179575544,17.499999999997993,0.004893294390072519,0.0057233007004494395,1000.0,1.169382191651254,0.032067713529472415,0.04040464439574493,0.016361144818259492,0.0,135.1896489068542,10814.944727826225,-1.6666666666666667e-06
38,-1.1620202689676504,17.499999999997993,0.0047873775230968234,0.005674374444821928,1000.0,1.1850307160309483,0.03214321114033502,0.04049977040917993,0.016399663010839765,0.0,135.1899551123981,10814.944727826225,-1.6666666666666667e-06
39,-1.1660041167243618,17.499999999998,0.004681804075719172,0.005617737781077712,1000.0,1.1996525351565037,0.032179025965308576,0.040544896625528785,0.01641793540793682,0.0,135.1902688281954,10814.944727826225,-1.6666666666666667e-06
40,-1.1698888644297893,17.499999999998007,0.00457656379287037,0.005553609455791858,1000.0,1.2132238253985004,0.03217521759359919,0.04054009812642062,0.0164159924114202,0.0,135.1905904238044,10814.944727826225,-1.6666666666666667e-06
41,-1.1736792723302483,17.499999999998014,0.004471646394581799,0.005482210253029825,1000.0,1.2257195783845152,0.03213184549860481,0.04048544984756783,0.01639386436407518,0.0,135.1909202967574,10814.944727826225,-1.6666666666666667e-06
42,-1.1773797551276117,17.499999999998014,0.004367041525457162,0.005403763152389262,1000.0,1.2371135029041878,0.03204896900732879,0.04038102654022747,0.016351581533997853,0.0,135.19125887545698,10814.944727826225,-1.6666666666666667e-06
43,-1.1809944135472676,17.499999999998014,0.004262738702297419,0.005318493497236327,1000.0,1.2473779160928828,0.03192664726183987,0.0402269027226414,0.016289174094932368,0.0,135.1916066224572,10814.944727826225,-1.6666666666666667e-06
