pmax,ws
0.0005,-1e-05
0.0005,-9.166666666666668e-06
0.0005,-8.333333333333334e-06
0.0005,-7.500000000000001e-06
0.0005,-6.666666666666667e-06
0.0005,-5.833333333333334e-06
0.0005,-5e-06
0.0005,-4.166666666666667e-06
0.0005,-3.3333333333333333e-06
0.0005,-2.4999999999999998e-06
0.0005,-1.666666666666667e-06
0.0005,-8.333333333333327e-07
0.0005,0.0
0.0005,8.333333333333344e-07
0.0005,1.666666666666667e-06
0.0005,2.5000000000000015e-06
0.0005,3.333333333333334e-06
0.0005,4.166666666666667e-06
0.0005,5.000000000000001e-06
0.0005,5.833333333333336e-06
0.0005,6.666666666666667e-06
0.0005,7.500000000000001e-06
0.0005,8.333333333333335e-06
0.0005,9.16666666666667e-06
0.0005,1e-05
0.0213125,-1e-05
0.0213125,-9.166666666666668e-06
0.0213125,-8.333333333333334e-06
0.0213125,-7.500000000000001e-06
0.0213125,-6.666666666666667e-06
0.0213125,-5.833333333333334e-06
0.0213125,-5e-06
0.0213125,-4.166666666666667e-06
0.0213125,-3.3333333333333333e-06
0.0213125,-2.4999999999999998e-06
0.0213125,-1.666666666666667e-06
0.0213125,-8.333333333333327e-07
0.0213125,0.0
0.0213125,8.333333333333344e-07
0.0213125,1.666666666666667e-06
0.0213125,2.5000000000000015e-06
0.0213125,3.333333333333334e-06
0.0213125,4.166666666666667e-06
0.0213125,5.000000000000001e-06
0.0213125,5.833333333333336e-06
0.0213125,6.666666666666667e-06
0.0213125,7.500000000000001e-06
0.0213125,8.333333333333335e-06
0.0213125,9.16666666666667e-06
0.0213125,1e-05
0.042125,-1e-05
0.042125,-9.166666666666668e-06
0.042125,-8.333333333333334e-06
0.042125,-7.500000000000001e-06
0.042125,-6.666666666666667e-06
0.042125,-5.833333333333334e-06
0.042125,-5e-06
0.042125,-4.166666666666667e-06
0.042125,-3.3333333333333333e-06
0.042125,-2.4999999999999998e-06
0.042125,-1.666666666666667e-06
0.042125,-8.333333333333327e-07
0.042125,0.0
0.042125,8.333333333333344e-07
0.042125,1.666666666666667e-06
0.042125,2.5000000000000015e-06
0.042125,3.333333333333334e-06
0.042125,4.166666666666667e-06
0.042125,5.000000000000001e-06
0.042125,5.833333333333336e-06
0.042125,6.666666666666667e-06
0.042125,7.500000000000001e-06
0.042125,8.333333333333335e-06
0.042125,9.16666666666667e-06
0.042125,1e-05
0.06293750000000001,-1e-05
0.06293750000000001,-9.166666666666668e-06
0.06293750000000001,-8.333333333333334e-06
0.06293750000000001,-7.500000000000001e-06
0.06293750000000001,-6.666666666666667e-06
0.06293750000000001,-5.833333333333334e-06
0.06293750000000001,-5e-06
0.06293750000000001,-4.166666666666667e-06
0.06293750000000001,-3.3333333333333333e-06
0.06293750000000001,-2.4999999999999998e-06
0.06293750000000001,-1.666666666666667e-06
0.06293750000000001,-8.333333333333327e-07
0.06293750000000001,0.0
0.06293750000000001,8.333333333333344e-07
0.06293750000000001,1.666666666666667e-06
0.06293750000000001,2.5000000000000015e-06
0.06293750000000001,3.333333333333334e-06
0.06293750000000001,4.166666666666667e-06
0.06293750000000001,5.000000000000001e-06
0.06293750000000001,5.833333333333336e-06
0.06293750000000001,6.666666666666667e-06
0.06293750000000001,7.500000000000001e-06
0.06293750000000001,8.333333333333335e-06
0.06293750000000001,9.16666666666667e-06
0.06293750000000001,1e-05
0.08375,-1e-05
0.08375,-9.166666666666668e-06
0.08375,-8.333333333333334e-06
0.08375,-7.500000000000001e-06
0.08375,-6.666666666666667e-06
0.08375,-5.833333333333334e-06
0.08375,-5e-06
0.08375,-4.166666666666667e-06
0.08375,-3.3333333333333333e-06
