depth_averaged_kz,ws,pmax,output
3.055307343707976e-05,-9.166666666666668e-06,3.4826388888888894e-05,36.89873225782953
3.055307343707976e-05,-3.3333333333333333e-06,0.00010998263888888889,462552750.3592331
3.055307343707976e-05,7.500000000000001e-06,5.920138888888889e-06,1.0918943020086513
3.055307343707976e-05,-9.166666666666668e-06,2.904513888888889e-05,12.993154635446901
3.055307343707976e-05,6.666666666666667e-06,3.4826388888888894e-05,153.27548731929224
3.055307343707976e-05,-5e-06,5.920138888888889e-06,0.8017301953981436
3.055307343707976e-05,-3.3333333333333333e-06,1.3888888888888888e-07,0.5961969251241255
3.055307343707976e-05,-9.166666666666668e-06,2.326388888888889e-05,4.946480172602044
3.055307343707976e-05,-7.500000000000001e-06,1.3888888888888888e-07,0.5266234546089228
3.055307343707976e-05,-4.166666666666667e-06,1.7482638888888892e-05,3.04385065955108
3.055307343707976e-05,1.666666666666667e-06,1.3888888888888888e-07,0.6531232171218173
3.055307343707976e-05,6.666666666666667e-06,0.00012154513888888889,17714975151.796703
3.055307343707976e-05,1.666666666666667e-06,5.795138888888889e-05,12320.931925578701
3.055307343707976e-05,2.5000000000000015e-06,2.326388888888889e-05,12.520606845244926
3.055307343707976e-05,-4.166666666666667e-06,7.52951388888889e-05,245140.06135898657
3.055307343707976e-05,0.0,2.904513888888889e-05,30.913402205287262
3.055307343707976e-05,-1e-05,1.3888888888888888e-07,0.4856222282509084
3.055307343707976e-05,-9.166666666666668e-06,0.0001042013888888889,54642250.98680648
3.055307343707976e-05,0.0,3.4826388888888894e-05,94.75326433638615
3.055307343707976e-05,4.166666666666667e-06,8.68576388888889e-05,7264759.774122442
3.055307343707976e-05,0.0,1.7482638888888892e-05,4.008470403171624
3.055307343707976e-05,1e-05,7.52951388888889e-05,936055.4117662166
3.055307343707976e-05,-7.500000000000001e-06,1.7482638888888892e-05,2.4058858046179155
3.055307343707976e-05,-3.3333333333333333e-06,5.920138888888889e-06,0.8539216484846609
3.055307343707976e-05,-4.166666666666667e-06,0.0001042013888888889,117649856.84200206
3.055307343707976e-05,-4.166666666666667e-06,2.904513888888889e-05,21.383820384321144
3.055307343707976e-05,-4.166666666666667e-06,2.326388888888889e-05,7.650657874023365
3.055307343707976e-05,6.666666666666667e-06,9.263888888888889e-05,31422313.497432742
3.055307343707976e-05,7.500000000000001e-06,3.4826388888888894e-05,161.2165301870735
3.055307343707976e-05,2.5000000000000015e-06,4.638888888888889e-05,1201.5030675935402
3.055307343707976e-05,-5e-06,1.3888888888888888e-07,0.5681996375585291
3.055307343707976e-05,0.0,5.920138888888889e-06,0.9639261111690663
3.055307343707976e-05,6.666666666666667e-06,5.217013888888889e-05,5461.557683102431
3.055307343707976e-05,-2.4999999999999998e-06,3.4826388888888894e-05,75.08634354863814
3.055307343707976e-05,-6.666666666666667e-06,1.7482638888888892e-05,2.5541901139315915
3.055307343707976e-05,-8.333333333333334e-06,5.920138888888889e-06,0.703215444818489
3.055307343707976e-05,-7.500000000000001e-06,0.0001388888888888889,132606239248.10037
3.055307343707976e-05,5.000000000000001e-06,0.00010998263888888889,1201327858.4361956
3.055307343707976e-05,8.333333333333344e-07,1.3888888888888888e-07,0.6529514314258472
3.055307343707976e-05,2.5000000000000015e-06,9.263888888888889e-05,21695022.5635584
